complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
EDU_EN_00001,Education Services,English,Midday meal not provided regularly,Neutral,0.42,Tamil Nadu,Trichy
EDU_EN_00002,Education Services,English,Online classes not functioning properly,Neutral,0.42,Tamil Nadu,Coimbatore
EDU_EN_00003,Education Services,English,Electricity not available in school,Negative,0.7,Tamil Nadu,Salem
EDU_EN_00004,Education Services,English,School toilets are not clean,Negative,0.68,Tamil Nadu,Karur
EDU_EN_00005,Education Services,English,Online classes not functioning properly,Neutral,0.33,Tamil Nadu,Karur
EDU_EN_00006,Education Services,English,School building is in poor condition,Negative,0.89,Tamil Nadu,Karur
EDU_EN_00007,Education Services,English,Government school lacks sufficient teachers,Neutral,0.35,Tamil Nadu,Trichy
EDU_EN_00008,Education Services,English,Electricity not available in school,Neutral,0.31,Tamil Nadu,Salem
EDU_EN_00009,Education Services,English,Scholarship amount not credited,Neutral,0.59,Tamil Nadu,Erode
EDU_EN_00010,Education Services,English,Students not receiving textbooks,Negative,0.86,Tamil Nadu,Erode
EDU_EN_00011,Education Services,English,Online classes not functioning properly,Negative,0.65,Tamil Nadu,Salem
EDU_EN_00012,Education Services,English,Classrooms are overcrowded,Neutral,0.33,Tamil Nadu,Karur
EDU_EN_00013,Education Services,English,Electricity not available in school,Negative,0.84,Tamil Nadu,Erode
EDU_EN_00014,Education Services,English,Midday meal not provided regularly,Negative,0.8,Tamil Nadu,Karur
EDU_EN_00015,Education Services,English,School toilets are not clean,Neutral,0.54,Tamil Nadu,Trichy
EDU_EN_00016,Education Services,English,Government school lacks sufficient teachers,Negative,0.87,Tamil Nadu,Erode
EDU_EN_00017,Education Services,English,Government school lacks sufficient teachers,Neutral,0.56,Tamil Nadu,Salem
EDU_EN_00018,Education Services,English,Library facilities are inadequate,Negative,0.99,Tamil Nadu,Erode
EDU_EN_00019,Education Services,English,School toilets are not clean,Neutral,0.35,Tamil Nadu,Salem
EDU_EN_00020,Education Services,English,Electricity not available in school,Neutral,0.49,Tamil Nadu,Erode
EDU_EN_00021,Education Services,English,School toilets are not clean,Negative,0.75,Tamil Nadu,Coimbatore
EDU_EN_00022,Education Services,English,Classrooms are overcrowded,Neutral,0.46,Tamil Nadu,Coimbatore
EDU_EN_00023,Education Services,English,Government school lacks sufficient teachers,Neutral,0.54,Tamil Nadu,Karur
EDU_EN_00024,Education Services,English,Students not receiving textbooks,Neutral,0.49,Tamil Nadu,Coimbatore
EDU_EN_00025,Education Services,English,Scholarship amount not credited,Negative,0.63,Tamil Nadu,Erode
EDU_EN_00026,Education Services,English,School building is in poor condition,Neutral,0.51,Tamil Nadu,Erode
EDU_EN_00027,Education Services,English,Classrooms are overcrowded,Negative,0.93,Tamil Nadu,Trichy
EDU_EN_00028,Education Services,English,Electricity not available in school,Neutral,0.53,Tamil Nadu,Trichy
EDU_EN_00029,Education Services,English,School toilets are not clean,Negative,0.88,Tamil Nadu,Karur
EDU_EN_00030,Education Services,English,Midday meal not provided regularly,Neutral,0.5,Tamil Nadu,Karur
EDU_EN_00031,Education Services,English,School building is in poor condition,Negative,0.65,Tamil Nadu,Coimbatore
EDU_EN_00032,Education Services,English,Students not receiving textbooks,Negative,0.76,Tamil Nadu,Coimbatore
EDU_EN_00033,Education Services,English,Classrooms are overcrowded,Negative,0.7,Tamil Nadu,Coimbatore
EDU_EN_00034,Education Services,English,Online classes not functioning properly,Neutral,0.3,Tamil Nadu,Coimbatore
EDU_EN_00035,Education Services,English,Students not receiving textbooks,Neutral,0.42,Tamil Nadu,Salem
EDU_EN_00036,Education Services,English,Online classes not functioning properly,Negative,0.68,Tamil Nadu,Erode
EDU_EN_00037,Education Services,English,Online classes not functioning properly,Neutral,0.43,Tamil Nadu,Trichy
EDU_EN_00038,Education Services,English,Classrooms are overcrowded,Neutral,0.33,Tamil Nadu,Salem
EDU_EN_00039,Education Services,English,Scholarship amount not credited,Negative,0.7,Tamil Nadu,Karur
EDU_EN_00040,Education Services,English,Students not receiving textbooks,Negative,0.8,Tamil Nadu,Trichy
EDU_EN_00041,Education Services,English,Electricity not available in school,Neutral,0.57,Tamil Nadu,Coimbatore
EDU_EN_00042,Education Services,English,Library facilities are inadequate,Negative,0.94,Tamil Nadu,Coimbatore
EDU_EN_00043,Education Services,English,Students not receiving textbooks,Neutral,0.53,Tamil Nadu,Karur
EDU_EN_00044,Education Services,English,School building is in poor condition,Neutral,0.45,Tamil Nadu,Coimbatore
EDU_EN_00045,Education Services,English,Scholarship amount not credited,Neutral,0.51,Tamil Nadu,Erode
EDU_EN_00046,Education Services,English,Classrooms are overcrowded,Neutral,0.49,Tamil Nadu,Trichy
EDU_EN_00047,Education Services,English,School toilets are not clean,Negative,0.95,Tamil Nadu,Coimbatore
EDU_EN_00048,Education Services,English,Classrooms are overcrowded,Negative,0.62,Tamil Nadu,Erode
EDU_EN_00049,Education Services,English,Online classes not functioning properly,Neutral,0.33,Tamil Nadu,Coimbatore
EDU_EN_00050,Education Services,English,Classrooms are overcrowded,Negative,0.7,Tamil Nadu,Karur
EDU_EN_00051,Education Services,English,School building is in poor condition,Neutral,0.33,Tamil Nadu,Karur
EDU_EN_00052,Education Services,English,Electricity not available in school,Neutral,0.5,Tamil Nadu,Karur
EDU_EN_00053,Education Services,English,Students not receiving textbooks,Neutral,0.32,Tamil Nadu,Trichy
EDU_EN_00054,Education Services,English,Midday meal not provided regularly,Negative,0.87,Tamil Nadu,Coimbatore
EDU_EN_00055,Education Services,English,Midday meal not provided regularly,Neutral,0.43,Tamil Nadu,Trichy
EDU_EN_00056,Education Services,English,Electricity not available in school,Negative,0.99,Tamil Nadu,Karur
EDU_EN_00057,Education Services,English,School toilets are not clean,Neutral,0.59,Tamil Nadu,Erode
EDU_EN_00058,Education Services,English,Online classes not functioning properly,Negative,0.91,Tamil Nadu,Trichy
EDU_EN_00059,Education Services,English,Government school lacks sufficient teachers,Negative,0.76,Tamil Nadu,Karur
EDU_EN_00060,Education Services,English,Students not receiving textbooks,Negative,0.9,Tamil Nadu,Coimbatore
EDU_EN_00061,Education Services,English,Classrooms are overcrowded,Negative,0.95,Tamil Nadu,Salem
EDU_EN_00062,Education Services,English,Classrooms are overcrowded,Neutral,0.51,Tamil Nadu,Erode
EDU_EN_00063,Education Services,English,Classrooms are overcrowded,Neutral,0.52,Tamil Nadu,Salem
EDU_EN_00064,Education Services,English,Library facilities are inadequate,Negative,0.66,Tamil Nadu,Karur
EDU_EN_00065,Education Services,English,Midday meal not provided regularly,Neutral,0.38,Tamil Nadu,Erode
EDU_EN_00066,Education Services,English,Government school lacks sufficient teachers,Negative,0.9,Tamil Nadu,Coimbatore
EDU_EN_00067,Education Services,English,Classrooms are overcrowded,Neutral,0.41,Tamil Nadu,Coimbatore
EDU_EN_00068,Education Services,English,Classrooms are overcrowded,Neutral,0.53,Tamil Nadu,Coimbatore
EDU_EN_00069,Education Services,English,Classrooms are overcrowded,Neutral,0.42,Tamil Nadu,Salem
EDU_EN_00070,Education Services,English,Scholarship amount not credited,Neutral,0.35,Tamil Nadu,Trichy
EDU_EN_00071,Education Services,English,Online classes not functioning properly,Neutral,0.52,Tamil Nadu,Karur
EDU_EN_00072,Education Services,English,Electricity not available in school,Neutral,0.39,Tamil Nadu,Salem
EDU_EN_00073,Education Services,English,Students not receiving textbooks,Negative,0.97,Tamil Nadu,Erode
EDU_EN_00074,Education Services,English,Students not receiving textbooks,Neutral,0.31,Tamil Nadu,Trichy
EDU_EN_00075,Education Services,English,Students not receiving textbooks,Neutral,0.56,Tamil Nadu,Erode
EDU_EN_00076,Education Services,English,Government school lacks sufficient teachers,Negative,0.64,Tamil Nadu,Trichy
EDU_EN_00077,Education Services,English,Classrooms are overcrowded,Negative,0.93,Tamil Nadu,Salem
EDU_EN_00078,Education Services,English,Library facilities are inadequate,Neutral,0.48,Tamil Nadu,Salem
EDU_EN_00079,Education Services,English,Midday meal not provided regularly,Neutral,0.58,Tamil Nadu,Trichy
EDU_EN_00080,Education Services,English,Midday meal not provided regularly,Negative,0.76,Tamil Nadu,Trichy
EDU_EN_00081,Education Services,English,School toilets are not clean,Neutral,0.46,Tamil Nadu,Karur
EDU_EN_00082,Education Services,English,School building is in poor condition,Neutral,0.4,Tamil Nadu,Coimbatore
EDU_EN_00083,Education Services,English,Students not receiving textbooks,Neutral,0.4,Tamil Nadu,Salem
EDU_EN_00084,Education Services,English,Classrooms are overcrowded,Neutral,0.42,Tamil Nadu,Karur
EDU_EN_00085,Education Services,English,School building is in poor condition,Neutral,0.56,Tamil Nadu,Trichy
EDU_EN_00086,Education Services,English,School toilets are not clean,Neutral,0.55,Tamil Nadu,Coimbatore
EDU_EN_00087,Education Services,English,Students not receiving textbooks,Negative,0.89,Tamil Nadu,Salem
EDU_EN_00088,Education Services,English,Midday meal not provided regularly,Neutral,0.48,Tamil Nadu,Coimbatore
EDU_EN_00089,Education Services,English,Students not receiving textbooks,Neutral,0.49,Tamil Nadu,Salem
EDU_EN_00090,Education Services,English,Scholarship amount not credited,Neutral,0.45,Tamil Nadu,Trichy
EDU_EN_00091,Education Services,English,Library facilities are inadequate,Negative,0.64,Tamil Nadu,Salem
EDU_EN_00092,Education Services,English,School building is in poor condition,Negative,0.68,Tamil Nadu,Karur
EDU_EN_00093,Education Services,English,Government school lacks sufficient teachers,Negative,0.78,Tamil Nadu,Coimbatore
EDU_EN_00094,Education Services,English,School building is in poor condition,Negative,0.72,Tamil Nadu,Salem
EDU_EN_00095,Education Services,English,School toilets are not clean,Negative,0.76,Tamil Nadu,Erode
EDU_EN_00096,Education Services,English,Classrooms are overcrowded,Negative,0.98,Tamil Nadu,Karur
EDU_EN_00097,Education Services,English,Online classes not functioning properly,Negative,0.68,Tamil Nadu,Trichy
EDU_EN_00098,Education Services,English,Scholarship amount not credited,Negative,0.98,Tamil Nadu,Trichy
EDU_EN_00099,Education Services,English,Scholarship amount not credited,Negative,0.85,Tamil Nadu,Erode
EDU_EN_00100,Education Services,English,School building is in poor condition,Negative,0.73,Tamil Nadu,Trichy
EDU_EN_00101,Education Services,English,School building is in poor condition,Neutral,0.34,Tamil Nadu,Erode
EDU_EN_00102,Education Services,English,Government school lacks sufficient teachers,Neutral,0.41,Tamil Nadu,Coimbatore
EDU_EN_00103,Education Services,English,Scholarship amount not credited,Negative,0.81,Tamil Nadu,Trichy
EDU_EN_00104,Education Services,English,School toilets are not clean,Neutral,0.56,Tamil Nadu,Karur
EDU_EN_00105,Education Services,English,Midday meal not provided regularly,Neutral,0.34,Tamil Nadu,Trichy
EDU_EN_00106,Education Services,English,Online classes not functioning properly,Negative,0.97,Tamil Nadu,Karur
EDU_EN_00107,Education Services,English,Scholarship amount not credited,Negative,0.82,Tamil Nadu,Trichy
EDU_EN_00108,Education Services,English,Classrooms are overcrowded,Negative,0.79,Tamil Nadu,Erode
EDU_EN_00109,Education Services,English,School toilets are not clean,Neutral,0.36,Tamil Nadu,Karur
EDU_EN_00110,Education Services,English,School toilets are not clean,Negative,0.9,Tamil Nadu,Karur
EDU_EN_00111,Education Services,English,Scholarship amount not credited,Neutral,0.4,Tamil Nadu,Karur
EDU_EN_00112,Education Services,English,Electricity not available in school,Neutral,0.31,Tamil Nadu,Salem
EDU_EN_00113,Education Services,English,Electricity not available in school,Neutral,0.33,Tamil Nadu,Trichy
EDU_EN_00114,Education Services,English,Electricity not available in school,Negative,0.68,Tamil Nadu,Trichy
EDU_EN_00115,Education Services,English,School toilets are not clean,Negative,0.63,Tamil Nadu,Erode
EDU_EN_00116,Education Services,English,Electricity not available in school,Neutral,0.57,Tamil Nadu,Trichy
EDU_EN_00117,Education Services,English,Classrooms are overcrowded,Negative,0.74,Tamil Nadu,Trichy
EDU_EN_00118,Education Services,English,School toilets are not clean,Negative,0.92,Tamil Nadu,Erode
EDU_EN_00119,Education Services,English,Government school lacks sufficient teachers,Neutral,0.52,Tamil Nadu,Salem
EDU_EN_00120,Education Services,English,Library facilities are inadequate,Neutral,0.58,Tamil Nadu,Trichy
