complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
EDU_TA_00001,Education Services,Tamil,பள்ளி கட்டிடம் மிகவும் சேதமடைந்துள்ளது,Negative,0.72,Tamil Nadu,Erode
EDU_TA_00002,Education Services,Tamil,அரசு பள்ளியில் போதிய ஆசிரியர்கள் இல்லை,Negative,0.71,Tamil Nadu,Coimbatore
EDU_TA_00003,Education Services,Tamil,வகுப்பறைகள் மிக அதிகமாக நிரம்பியுள்ளன,Neutral,0.46,Tamil Nadu,Karur
EDU_TA_00004,Education Services,Tamil,மாணவர்களுக்கு பாடப்புத்தகங்கள் வழங்கப்படவில்லை,Negative,0.89,Tamil Nadu,Salem
EDU_TA_00005,Education Services,Tamil,உதவித்தொகை தொகை செலுத்தப்படவில்லை,Neutral,0.35,Tamil Nadu,Trichy
EDU_TA_00006,Education Services,Tamil,நூலக வசதிகள் போதுமானதாக இல்லை,Neutral,0.49,Tamil Nadu,Trichy
EDU_TA_00007,Education Services,Tamil,நூலக வசதிகள் போதுமானதாக இல்லை,Negative,0.63,Tamil Nadu,Salem
EDU_TA_00008,Education Services,Tamil,உதவித்தொகை தொகை செலுத்தப்படவில்லை,Negative,0.93,Tamil Nadu,Trichy
EDU_TA_00009,Education Services,Tamil,அரசு பள்ளியில் போதிய ஆசிரியர்கள் இல்லை,Neutral,0.35,Tamil Nadu,Karur
EDU_TA_00010,Education Services,Tamil,வகுப்பறைகள் மிக அதிகமாக நிரம்பியுள்ளன,Negative,0.63,Tamil Nadu,Trichy
EDU_TA_00011,Education Services,Tamil,பள்ளி கழிப்பறைகள் சுத்தமாக இல்லை,Neutral,0.55,Tamil Nadu,Coimbatore
EDU_TA_00012,Education Services,Tamil,ஆன்லைன் வகுப்புகள் சரியாக செயல்படவில்லை,Neutral,0.56,Tamil Nadu,Erode
EDU_TA_00013,Education Services,Tamil,வகுப்பறைகள் மிக அதிகமாக நிரம்பியுள்ளன,Neutral,0.47,Tamil Nadu,Erode
EDU_TA_00014,Education Services,Tamil,பள்ளி கழிப்பறைகள் சுத்தமாக இல்லை,Negative,0.78,Tamil Nadu,Salem
EDU_TA_00015,Education Services,Tamil,பள்ளி கழிப்பறைகள் சுத்தமாக இல்லை,Neutral,0.35,Tamil Nadu,Coimbatore
EDU_TA_00016,Education Services,Tamil,வகுப்பறைகள் மிக அதிகமாக நிரம்பியுள்ளன,Neutral,0.5,Tamil Nadu,Karur
EDU_TA_00017,Education Services,Tamil,அரசு பள்ளியில் போதிய ஆசிரியர்கள் இல்லை,Neutral,0.45,Tamil Nadu,Trichy
