complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
HLT_EN_00001,Health Services,English,Hospital staff behaving rudely,Negative,1.0,Tamil Nadu,Erode
HLT_EN_00002,Health Services,English,Emergency ward not functioning properly,Neutral,0.31,Tamil Nadu,Karur
HLT_EN_00003,Health Services,English,Emergency ward not functioning properly,Negative,0.97,Tamil Nadu,Coimbatore
HLT_EN_00004,Health Services,English,Medical equipment not working,Negative,0.93,Tamil Nadu,Coimbatore
HLT_EN_00005,Health Services,English,Hospital staff behaving rudely,Neutral,0.59,Tamil Nadu,Salem
HLT_EN_00006,Health Services,English,Emergency ward not functioning properly,Negative,0.74,Tamil Nadu,Karur
HLT_EN_00007,Health Services,English,Long waiting time in hospital,Negative,0.86,Tamil Nadu,Erode
HLT_EN_00008,Health Services,English,Emergency ward not functioning properly,Neutral,0.4,Tamil Nadu,Trichy
HLT_EN_00009,Health Services,English,Emergency ward not functioning properly,Negative,0.73,Tamil Nadu,Trichy
HLT_EN_00010,Health Services,English,Ambulance service delayed,Neutral,0.37,Tamil Nadu,Trichy
HLT_EN_00011,Health Services,English,Poor hygiene maintained in hospital,Neutral,0.38,Tamil Nadu,Karur
HLT_EN_00012,Health Services,English,Vaccination services not available,Neutral,0.45,Tamil Nadu,Coimbatore
HLT_EN_00013,Health Services,English,No beds available for patients,Neutral,0.36,Tamil Nadu,Trichy
HLT_EN_00014,Health Services,English,Hospital staff behaving rudely,Negative,0.8,Tamil Nadu,Salem
HLT_EN_00015,Health Services,English,Medical equipment not working,Negative,0.85,Tamil Nadu,Coimbatore
HLT_EN_00016,Health Services,English,Medical equipment not working,Negative,0.78,Tamil Nadu,Salem
HLT_EN_00017,Health Services,English,No beds available for patients,Negative,0.91,Tamil Nadu,Erode
HLT_EN_00018,Health Services,English,Medical equipment not working,Neutral,0.57,Tamil Nadu,Trichy
HLT_EN_00019,Health Services,English,Medical equipment not working,Negative,0.98,Tamil Nadu,Salem
HLT_EN_00020,Health Services,English,Doctor not available in primary health center,Neutral,0.37,Tamil Nadu,Salem
HLT_EN_00021,Health Services,English,Long waiting time in hospital,Neutral,0.47,Tamil Nadu,Coimbatore
HLT_EN_00022,Health Services,English,Long waiting time in hospital,Neutral,0.58,Tamil Nadu,Salem
HLT_EN_00023,Health Services,English,Government hospital lacks basic medicines,Negative,0.73,Tamil Nadu,Trichy
HLT_EN_00024,Health Services,English,Long waiting time in hospital,Negative,0.68,Tamil Nadu,Erode
HLT_EN_00025,Health Services,English,No beds available for patients,Negative,0.75,Tamil Nadu,Coimbatore
HLT_EN_00026,Health Services,English,Government hospital lacks basic medicines,Negative,0.91,Tamil Nadu,Coimbatore
HLT_EN_00027,Health Services,English,Emergency ward not functioning properly,Neutral,0.49,Tamil Nadu,Trichy
HLT_EN_00028,Health Services,English,Emergency ward not functioning properly,Neutral,0.57,Tamil Nadu,Erode
HLT_EN_00029,Health Services,English,No beds available for patients,Neutral,0.37,Tamil Nadu,Salem
