complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
HLT_HI_00001,Health Services,Hindi,एम्बुलेंस सेवा में देरी हो रही है,Negative,0.69,Tamil Nadu,Karur
HLT_HI_00002,Health Services,Hindi,अस्पताल का स्टाफ ठीक से व्यवहार नहीं करता,Neutral,0.48,Tamil Nadu,Trichy
HLT_HI_00003,Health Services,Hindi,चिकित्सा उपकरण काम नहीं कर रहे हैं,Neutral,0.35,Tamil Nadu,Coimbatore
HLT_HI_00004,Health Services,Hindi,टीकाकरण सेवाएं उपलब्ध नहीं हैं,Negative,0.66,Tamil Nadu,Karur
HLT_HI_00005,Health Services,Hindi,प्राथमिक स्वास्थ्य केंद्र में डॉक्टर उपलब्ध नहीं है,Negative,1.0,Tamil Nadu,Erode
HLT_HI_00006,Health Services,Hindi,अस्पताल का स्टाफ ठीक से व्यवहार नहीं करता,Negative,0.95,Tamil Nadu,Karur
HLT_HI_00007,Health Services,Hindi,अस्पताल का स्टाफ ठीक से व्यवहार नहीं करता,Negative,0.8,Tamil Nadu,Salem
HLT_HI_00008,Health Services,Hindi,अस्पताल में सफाई ठीक से नहीं की जा रही है,Neutral,0.33,Tamil Nadu,Erode
HLT_HI_00009,Health Services,Hindi,अस्पताल में बहुत लंबा इंतजार करना पड़ता है,Negative,0.82,Tamil Nadu,Salem
HLT_HI_00010,Health Services,Hindi,टीकाकरण सेवाएं उपलब्ध नहीं हैं,Negative,0.61,Tamil Nadu,Karur
HLT_HI_00011,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Negative,0.61,Tamil Nadu,Karur
HLT_HI_00012,Health Services,Hindi,प्राथमिक स्वास्थ्य केंद्र में डॉक्टर उपलब्ध नहीं है,Neutral,0.4,Tamil Nadu,Trichy
HLT_HI_00013,Health Services,Hindi,आपातकालीन वार्ड ठीक से काम नहीं कर रहा है,Neutral,0.54,Tamil Nadu,Karur
HLT_HI_00014,Health Services,Hindi,मरीजों के लिए बेड उपलब्ध नहीं हैं,Negative,0.7,Tamil Nadu,Coimbatore
HLT_HI_00015,Health Services,Hindi,चिकित्सा उपकरण काम नहीं कर रहे हैं,Neutral,0.31,Tamil Nadu,Trichy
HLT_HI_00016,Health Services,Hindi,मरीजों के लिए बेड उपलब्ध नहीं हैं,Negative,0.85,Tamil Nadu,Erode
HLT_HI_00017,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Negative,0.84,Tamil Nadu,Karur
HLT_HI_00018,Health Services,Hindi,प्राथमिक स्वास्थ्य केंद्र में डॉक्टर उपलब्ध नहीं है,Negative,0.77,Tamil Nadu,Erode
HLT_HI_00019,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Negative,1.0,Tamil Nadu,Trichy
HLT_HI_00020,Health Services,Hindi,आपातकालीन वार्ड ठीक से काम नहीं कर रहा है,Negative,0.86,Tamil Nadu,Erode
HLT_HI_00021,Health Services,Hindi,टीकाकरण सेवाएं उपलब्ध नहीं हैं,Negative,0.82,Tamil Nadu,Karur
HLT_HI_00022,Health Services,Hindi,अस्पताल में सफाई ठीक से नहीं की जा रही है,Neutral,0.58,Tamil Nadu,Coimbatore
HLT_HI_00023,Health Services,Hindi,अस्पताल में बहुत लंबा इंतजार करना पड़ता है,Negative,0.89,Tamil Nadu,Salem
HLT_HI_00024,Health Services,Hindi,एम्बुलेंस सेवा में देरी हो रही है,Neutral,0.51,Tamil Nadu,Karur
HLT_HI_00025,Health Services,Hindi,मरीजों के लिए बेड उपलब्ध नहीं हैं,Negative,0.98,Tamil Nadu,Trichy
HLT_HI_00026,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Negative,0.91,Tamil Nadu,Trichy
HLT_HI_00027,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Negative,0.86,Tamil Nadu,Karur
HLT_HI_00028,Health Services,Hindi,टीकाकरण सेवाएं उपलब्ध नहीं हैं,Neutral,0.46,Tamil Nadu,Salem
HLT_HI_00029,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Neutral,0.45,Tamil Nadu,Trichy
HLT_HI_00030,Health Services,Hindi,अस्पताल में सफाई ठीक से नहीं की जा रही है,Negative,0.69,Tamil Nadu,Erode
HLT_HI_00031,Health Services,Hindi,चिकित्सा उपकरण काम नहीं कर रहे हैं,Neutral,0.47,Tamil Nadu,Karur
HLT_HI_00032,Health Services,Hindi,मरीजों के लिए बेड उपलब्ध नहीं हैं,Neutral,0.56,Tamil Nadu,Karur
HLT_HI_00033,Health Services,Hindi,टीकाकरण सेवाएं उपलब्ध नहीं हैं,Neutral,0.52,Tamil Nadu,Coimbatore
HLT_HI_00034,Health Services,Hindi,चिकित्सा उपकरण काम नहीं कर रहे हैं,Neutral,0.4,Tamil Nadu,Karur
HLT_HI_00035,Health Services,Hindi,अस्पताल में बहुत लंबा इंतजार करना पड़ता है,Neutral,0.54,Tamil Nadu,Salem
HLT_HI_00036,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Negative,0.79,Tamil Nadu,Coimbatore
HLT_HI_00037,Health Services,Hindi,आपातकालीन वार्ड ठीक से काम नहीं कर रहा है,Neutral,0.55,Tamil Nadu,Coimbatore
HLT_HI_00038,Health Services,Hindi,अस्पताल में बहुत लंबा इंतजार करना पड़ता है,Negative,0.9,Tamil Nadu,Erode
HLT_HI_00039,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Negative,0.81,Tamil Nadu,Coimbatore
HLT_HI_00040,Health Services,Hindi,अस्पताल का स्टाफ ठीक से व्यवहार नहीं करता,Negative,0.97,Tamil Nadu,Karur
HLT_HI_00041,Health Services,Hindi,चिकित्सा उपकरण काम नहीं कर रहे हैं,Negative,0.91,Tamil Nadu,Salem
HLT_HI_00042,Health Services,Hindi,अस्पताल में सफाई ठीक से नहीं की जा रही है,Negative,0.68,Tamil Nadu,Karur
HLT_HI_00043,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Negative,0.96,Tamil Nadu,Karur
HLT_HI_00044,Health Services,Hindi,मरीजों के लिए बेड उपलब्ध नहीं हैं,Negative,0.71,Tamil Nadu,Coimbatore
HLT_HI_00045,Health Services,Hindi,चिकित्सा उपकरण काम नहीं कर रहे हैं,Negative,0.6,Tamil Nadu,Trichy
HLT_HI_00046,Health Services,Hindi,अस्पताल का स्टाफ ठीक से व्यवहार नहीं करता,Negative,0.7,Tamil Nadu,Coimbatore
HLT_HI_00047,Health Services,Hindi,टीकाकरण सेवाएं उपलब्ध नहीं हैं,Negative,0.95,Tamil Nadu,Karur
HLT_HI_00048,Health Services,Hindi,चिकित्सा उपकरण काम नहीं कर रहे हैं,Negative,0.74,Tamil Nadu,Erode
HLT_HI_00049,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Neutral,0.43,Tamil Nadu,Salem
HLT_HI_00050,Health Services,Hindi,टीकाकरण सेवाएं उपलब्ध नहीं हैं,Neutral,0.55,Tamil Nadu,Trichy
HLT_HI_00051,Health Services,Hindi,अस्पताल का स्टाफ ठीक से व्यवहार नहीं करता,Negative,0.94,Tamil Nadu,Salem
HLT_HI_00052,Health Services,Hindi,आपातकालीन वार्ड ठीक से काम नहीं कर रहा है,Negative,0.8,Tamil Nadu,Trichy
HLT_HI_00053,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Neutral,0.36,Tamil Nadu,Trichy
HLT_HI_00054,Health Services,Hindi,मरीजों के लिए बेड उपलब्ध नहीं हैं,Negative,0.82,Tamil Nadu,Salem
HLT_HI_00055,Health Services,Hindi,अस्पताल में सफाई ठीक से नहीं की जा रही है,Neutral,0.49,Tamil Nadu,Karur
HLT_HI_00056,Health Services,Hindi,अस्पताल में सफाई ठीक से नहीं की जा रही है,Neutral,0.53,Tamil Nadu,Erode
HLT_HI_00057,Health Services,Hindi,टीकाकरण सेवाएं उपलब्ध नहीं हैं,Neutral,0.45,Tamil Nadu,Salem
HLT_HI_00058,Health Services,Hindi,मरीजों के लिए बेड उपलब्ध नहीं हैं,Neutral,0.44,Tamil Nadu,Salem
HLT_HI_00059,Health Services,Hindi,टीकाकरण सेवाएं उपलब्ध नहीं हैं,Neutral,0.47,Tamil Nadu,Erode
HLT_HI_00060,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Negative,0.66,Tamil Nadu,Karur
HLT_HI_00061,Health Services,Hindi,अस्पताल में बहुत लंबा इंतजार करना पड़ता है,Neutral,0.5,Tamil Nadu,Trichy
HLT_HI_00062,Health Services,Hindi,एम्बुलेंस सेवा में देरी हो रही है,Neutral,0.46,Tamil Nadu,Karur
HLT_HI_00063,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Neutral,0.55,Tamil Nadu,Trichy
HLT_HI_00064,Health Services,Hindi,अस्पताल में सफाई ठीक से नहीं की जा रही है,Negative,0.98,Tamil Nadu,Erode
HLT_HI_00065,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Negative,0.7,Tamil Nadu,Erode
HLT_HI_00066,Health Services,Hindi,टीकाकरण सेवाएं उपलब्ध नहीं हैं,Negative,0.72,Tamil Nadu,Salem
HLT_HI_00067,Health Services,Hindi,चिकित्सा उपकरण काम नहीं कर रहे हैं,Negative,0.73,Tamil Nadu,Karur
HLT_HI_00068,Health Services,Hindi,अस्पताल में सफाई ठीक से नहीं की जा रही है,Negative,0.75,Tamil Nadu,Coimbatore
HLT_HI_00069,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Negative,0.81,Tamil Nadu,Salem
HLT_HI_00070,Health Services,Hindi,प्राथमिक स्वास्थ्य केंद्र में डॉक्टर उपलब्ध नहीं है,Negative,0.67,Tamil Nadu,Trichy
HLT_HI_00071,Health Services,Hindi,अस्पताल का स्टाफ ठीक से व्यवहार नहीं करता,Neutral,0.36,Tamil Nadu,Coimbatore
HLT_HI_00072,Health Services,Hindi,चिकित्सा उपकरण काम नहीं कर रहे हैं,Neutral,0.47,Tamil Nadu,Karur
HLT_HI_00073,Health Services,Hindi,अस्पताल में बहुत लंबा इंतजार करना पड़ता है,Neutral,0.49,Tamil Nadu,Erode
HLT_HI_00074,Health Services,Hindi,अस्पताल का स्टाफ ठीक से व्यवहार नहीं करता,Neutral,0.45,Tamil Nadu,Erode
HLT_HI_00075,Health Services,Hindi,आपातकालीन वार्ड ठीक से काम नहीं कर रहा है,Neutral,0.4,Tamil Nadu,Trichy
HLT_HI_00076,Health Services,Hindi,चिकित्सा उपकरण काम नहीं कर रहे हैं,Neutral,0.35,Tamil Nadu,Coimbatore
HLT_HI_00077,Health Services,Hindi,टीकाकरण सेवाएं उपलब्ध नहीं हैं,Neutral,0.51,Tamil Nadu,Karur
HLT_HI_00078,Health Services,Hindi,अस्पताल का स्टाफ ठीक से व्यवहार नहीं करता,Negative,0.91,Tamil Nadu,Trichy
HLT_HI_00079,Health Services,Hindi,अस्पताल में सफाई ठीक से नहीं की जा रही है,Negative,0.61,Tamil Nadu,Trichy
HLT_HI_00080,Health Services,Hindi,अस्पताल में बहुत लंबा इंतजार करना पड़ता है,Neutral,0.4,Tamil Nadu,Erode
HLT_HI_00081,Health Services,Hindi,आपातकालीन वार्ड ठीक से काम नहीं कर रहा है,Negative,0.65,Tamil Nadu,Coimbatore
HLT_HI_00082,Health Services,Hindi,अस्पताल का स्टाफ ठीक से व्यवहार नहीं करता,Negative,0.94,Tamil Nadu,Coimbatore
HLT_HI_00083,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Neutral,0.49,Tamil Nadu,Coimbatore
HLT_HI_00084,Health Services,Hindi,आपातकालीन वार्ड ठीक से काम नहीं कर रहा है,Negative,0.92,Tamil Nadu,Erode
HLT_HI_00085,Health Services,Hindi,टीकाकरण सेवाएं उपलब्ध नहीं हैं,Negative,0.98,Tamil Nadu,Trichy
HLT_HI_00086,Health Services,Hindi,मरीजों के लिए बेड उपलब्ध नहीं हैं,Negative,0.85,Tamil Nadu,Salem
HLT_HI_00087,Health Services,Hindi,प्राथमिक स्वास्थ्य केंद्र में डॉक्टर उपलब्ध नहीं है,Neutral,0.38,Tamil Nadu,Salem
HLT_HI_00088,Health Services,Hindi,प्राथमिक स्वास्थ्य केंद्र में डॉक्टर उपलब्ध नहीं है,Negative,0.62,Tamil Nadu,Trichy
HLT_HI_00089,Health Services,Hindi,अस्पताल में सफाई ठीक से नहीं की जा रही है,Negative,0.71,Tamil Nadu,Karur
HLT_HI_00090,Health Services,Hindi,आपातकालीन वार्ड ठीक से काम नहीं कर रहा है,Negative,0.78,Tamil Nadu,Salem
HLT_HI_00091,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Neutral,0.33,Tamil Nadu,Trichy
HLT_HI_00092,Health Services,Hindi,मरीजों के लिए बेड उपलब्ध नहीं हैं,Neutral,0.42,Tamil Nadu,Karur
HLT_HI_00093,Health Services,Hindi,टीकाकरण सेवाएं उपलब्ध नहीं हैं,Neutral,0.31,Tamil Nadu,Salem
HLT_HI_00094,Health Services,Hindi,टीकाकरण सेवाएं उपलब्ध नहीं हैं,Neutral,0.5,Tamil Nadu,Erode
HLT_HI_00095,Health Services,Hindi,अस्पताल में सफाई ठीक से नहीं की जा रही है,Neutral,0.35,Tamil Nadu,Erode
HLT_HI_00096,Health Services,Hindi,अस्पताल का स्टाफ ठीक से व्यवहार नहीं करता,Negative,0.77,Tamil Nadu,Coimbatore
HLT_HI_00097,Health Services,Hindi,अस्पताल में सफाई ठीक से नहीं की जा रही है,Neutral,0.48,Tamil Nadu,Coimbatore
HLT_HI_00098,Health Services,Hindi,अस्पताल में बहुत लंबा इंतजार करना पड़ता है,Negative,0.89,Tamil Nadu,Salem
HLT_HI_00099,Health Services,Hindi,अस्पताल का स्टाफ ठीक से व्यवहार नहीं करता,Negative,0.96,Tamil Nadu,Trichy
HLT_HI_00100,Health Services,Hindi,एम्बुलेंस सेवा में देरी हो रही है,Negative,0.77,Tamil Nadu,Salem
HLT_HI_00101,Health Services,Hindi,अस्पताल में बहुत लंबा इंतजार करना पड़ता है,Neutral,0.41,Tamil Nadu,Coimbatore
HLT_HI_00102,Health Services,Hindi,सरकारी अस्पताल में आवश्यक दवाइयां उपलब्ध नहीं हैं,Neutral,0.58,Tamil Nadu,Trichy
HLT_HI_00103,Health Services,Hindi,मरीजों के लिए बेड उपलब्ध नहीं हैं,Neutral,0.32,Tamil Nadu,Erode
HLT_HI_00104,Health Services,Hindi,अस्पताल में सफाई ठीक से नहीं की जा रही है,Negative,0.84,Tamil Nadu,Trichy
HLT_HI_00105,Health Services,Hindi,अस्पताल में सफाई ठीक से नहीं की जा रही है,Neutral,0.36,Tamil Nadu,Coimbatore
HLT_HI_00106,Health Services,Hindi,मरीजों के लिए बेड उपलब्ध नहीं हैं,Neutral,0.53,Tamil Nadu,Coimbatore
HLT_HI_00107,Health Services,Hindi,प्राथमिक स्वास्थ्य केंद्र में डॉक्टर उपलब्ध नहीं है,Negative,0.62,Tamil Nadu,Karur
