complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
HLT_TA_00001,Health Services,Tamil,மருத்துவமனையில் சுத்தம் சரியாக இல்லை,Neutral,0.45,Tamil Nadu,Coimbatore
HLT_TA_00002,Health Services,Tamil,முதன்மை சுகாதார மையத்தில் மருத்துவர் இல்லை,Negative,0.92,Tamil Nadu,Karur
HLT_TA_00003,Health Services,Tamil,அவசர சிகிச்சை பிரிவு சரியாக செயல்படவில்லை,Neutral,0.52,Tamil Nadu,Karur
HLT_TA_00004,Health Services,Tamil,மருத்துவ உபகரணங்கள் வேலை செய்யவில்லை,Neutral,0.38,Tamil Nadu,Trichy
HLT_TA_00005,Health Services,Tamil,முதன்மை சுகாதார மையத்தில் மருத்துவர் இல்லை,Negative,0.64,Tamil Nadu,Coimbatore
HLT_TA_00006,Health Services,Tamil,ஆம்புலன்ஸ் சேவை தாமதமாக வருகிறது,Neutral,0.47,Tamil Nadu,Trichy
HLT_TA_00007,Health Services,Tamil,மருத்துவமனையில் நீண்ட நேரம் காத்திருக்க வேண்டியுள்ளது,Negative,0.61,Tamil Nadu,Karur
HLT_TA_00008,Health Services,Tamil,மருத்துவ பணியாளர்கள் மோசமாக நடந்து கொள்கிறார்கள்,Negative,0.7,Tamil Nadu,Karur
HLT_TA_00009,Health Services,Tamil,மருத்துவ பணியாளர்கள் மோசமாக நடந்து கொள்கிறார்கள்,Negative,0.94,Tamil Nadu,Salem
HLT_TA_00010,Health Services,Tamil,மருத்துவமனையில் சுத்தம் சரியாக இல்லை,Neutral,0.57,Tamil Nadu,Salem
HLT_TA_00011,Health Services,Tamil,மருத்துவ பணியாளர்கள் மோசமாக நடந்து கொள்கிறார்கள்,Neutral,0.45,Tamil Nadu,Karur
HLT_TA_00012,Health Services,Tamil,மருத்துவ பணியாளர்கள் மோசமாக நடந்து கொள்கிறார்கள்,Neutral,0.57,Tamil Nadu,Karur
HLT_TA_00013,Health Services,Tamil,மருத்துவமனையில் சுத்தம் சரியாக இல்லை,Neutral,0.36,Tamil Nadu,Erode
HLT_TA_00014,Health Services,Tamil,அரசு மருத்துவமனையில் அடிப்படை மருந்துகள் இல்லை,Negative,0.64,Tamil Nadu,Trichy
HLT_TA_00015,Health Services,Tamil,தடுப்பூசி சேவைகள் கிடைக்கவில்லை,Neutral,0.35,Tamil Nadu,Coimbatore
HLT_TA_00016,Health Services,Tamil,அரசு மருத்துவமனையில் அடிப்படை மருந்துகள் இல்லை,Neutral,0.53,Tamil Nadu,Erode
HLT_TA_00017,Health Services,Tamil,அரசு மருத்துவமனையில் அடிப்படை மருந்துகள் இல்லை,Neutral,0.45,Tamil Nadu,Salem
HLT_TA_00018,Health Services,Tamil,ஆம்புலன்ஸ் சேவை தாமதமாக வருகிறது,Neutral,0.49,Tamil Nadu,Erode
HLT_TA_00019,Health Services,Tamil,ஆம்புலன்ஸ் சேவை தாமதமாக வருகிறது,Negative,0.79,Tamil Nadu,Karur
HLT_TA_00020,Health Services,Tamil,நோயாளிகளுக்கு படுக்கைகள் கிடைக்கவில்லை,Neutral,0.54,Tamil Nadu,Erode
HLT_TA_00021,Health Services,Tamil,நோயாளிகளுக்கு படுக்கைகள் கிடைக்கவில்லை,Neutral,0.54,Tamil Nadu,Trichy
HLT_TA_00022,Health Services,Tamil,மருத்துவ உபகரணங்கள் வேலை செய்யவில்லை,Negative,0.86,Tamil Nadu,Coimbatore
HLT_TA_00023,Health Services,Tamil,மருத்துவமனையில் சுத்தம் சரியாக இல்லை,Negative,0.64,Tamil Nadu,Salem
HLT_TA_00024,Health Services,Tamil,முதன்மை சுகாதார மையத்தில் மருத்துவர் இல்லை,Negative,0.78,Tamil Nadu,Trichy
HLT_TA_00025,Health Services,Tamil,அவசர சிகிச்சை பிரிவு சரியாக செயல்படவில்லை,Negative,0.61,Tamil Nadu,Erode
HLT_TA_00026,Health Services,Tamil,ஆம்புலன்ஸ் சேவை தாமதமாக வருகிறது,Neutral,0.39,Tamil Nadu,Karur
