complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
MUN_EN_00001,Municipal Administration,English,Birth certificate delayed,Negative,0.93,Tamil Nadu,Coimbatore
MUN_EN_00002,Municipal Administration,English,Death certificate application pending,Negative,0.82,Tamil Nadu,Coimbatore
MUN_EN_00003,Municipal Administration,English,Street name board missing,Neutral,0.37,Tamil Nadu,Trichy
MUN_EN_00004,Municipal Administration,English,Delay in house number allocation,Neutral,0.31,Tamil Nadu,Salem
MUN_EN_00005,Municipal Administration,English,Building approval delayed,Neutral,0.5,Tamil Nadu,Karur
MUN_EN_00006,Municipal Administration,English,Property tax issues not resolved,Negative,0.67,Tamil Nadu,Salem
MUN_EN_00007,Municipal Administration,English,Street name board missing,Neutral,0.5,Tamil Nadu,Trichy
MUN_EN_00008,Municipal Administration,English,Delay in issuing trade license,Neutral,0.36,Tamil Nadu,Salem
MUN_EN_00009,Municipal Administration,English,Delay in house number allocation,Neutral,0.3,Tamil Nadu,Karur
MUN_EN_00010,Municipal Administration,English,Property tax issues not resolved,Negative,0.62,Tamil Nadu,Karur
MUN_EN_00011,Municipal Administration,English,Delay in issuing trade license,Negative,0.8,Tamil Nadu,Erode
MUN_EN_00012,Municipal Administration,English,Building approval delayed,Neutral,0.31,Tamil Nadu,Coimbatore
MUN_EN_00013,Municipal Administration,English,Birth certificate delayed,Negative,0.73,Tamil Nadu,Erode
MUN_EN_00014,Municipal Administration,English,Encroachment on public land,Neutral,0.36,Tamil Nadu,Karur
MUN_EN_00015,Municipal Administration,English,Delay in house number allocation,Neutral,0.41,Tamil Nadu,Trichy
MUN_EN_00016,Municipal Administration,English,Municipal office staff not responding,Negative,0.71,Tamil Nadu,Trichy
MUN_EN_00017,Municipal Administration,English,Property tax issues not resolved,Negative,0.69,Tamil Nadu,Trichy
MUN_EN_00018,Municipal Administration,English,Delay in issuing trade license,Neutral,0.35,Tamil Nadu,Trichy
MUN_EN_00019,Municipal Administration,English,Municipal office staff not responding,Neutral,0.31,Tamil Nadu,Karur
MUN_EN_00020,Municipal Administration,English,Birth certificate delayed,Neutral,0.52,Tamil Nadu,Salem
MUN_EN_00021,Municipal Administration,English,Unauthorized construction in locality,Negative,0.63,Tamil Nadu,Trichy
MUN_EN_00022,Municipal Administration,English,Death certificate application pending,Neutral,0.57,Tamil Nadu,Trichy
MUN_EN_00023,Municipal Administration,English,Delay in issuing trade license,Neutral,0.52,Tamil Nadu,Salem
MUN_EN_00024,Municipal Administration,English,Street name board missing,Neutral,0.49,Tamil Nadu,Coimbatore
MUN_EN_00025,Municipal Administration,English,Delay in house number allocation,Negative,0.94,Tamil Nadu,Coimbatore
MUN_EN_00026,Municipal Administration,English,Encroachment on public land,Negative,0.94,Tamil Nadu,Salem
MUN_EN_00027,Municipal Administration,English,Municipal office staff not responding,Neutral,0.41,Tamil Nadu,Erode
MUN_EN_00028,Municipal Administration,English,Street name board missing,Neutral,0.4,Tamil Nadu,Salem
MUN_EN_00029,Municipal Administration,English,Property tax issues not resolved,Negative,0.8,Tamil Nadu,Salem
MUN_EN_00030,Municipal Administration,English,Municipal office staff not responding,Neutral,0.31,Tamil Nadu,Coimbatore
MUN_EN_00031,Municipal Administration,English,Street name board missing,Negative,0.62,Tamil Nadu,Erode
MUN_EN_00032,Municipal Administration,English,Delay in house number allocation,Negative,0.98,Tamil Nadu,Trichy
MUN_EN_00033,Municipal Administration,English,Delay in issuing trade license,Negative,0.78,Tamil Nadu,Coimbatore
MUN_EN_00034,Municipal Administration,English,Delay in issuing trade license,Negative,0.89,Tamil Nadu,Erode
MUN_EN_00035,Municipal Administration,English,Death certificate application pending,Neutral,0.56,Tamil Nadu,Salem
MUN_EN_00036,Municipal Administration,English,Delay in house number allocation,Neutral,0.52,Tamil Nadu,Salem
MUN_EN_00037,Municipal Administration,English,Death certificate application pending,Negative,0.78,Tamil Nadu,Erode
MUN_EN_00038,Municipal Administration,English,Property tax issues not resolved,Neutral,0.37,Tamil Nadu,Trichy
MUN_EN_00039,Municipal Administration,English,Encroachment on public land,Negative,0.7,Tamil Nadu,Coimbatore
MUN_EN_00040,Municipal Administration,English,Birth certificate delayed,Neutral,0.43,Tamil Nadu,Erode
MUN_EN_00041,Municipal Administration,English,Street name board missing,Neutral,0.49,Tamil Nadu,Karur
MUN_EN_00042,Municipal Administration,English,Municipal office staff not responding,Neutral,0.37,Tamil Nadu,Coimbatore
