complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
MUN_TA_00001,Municipal Administration,Tamil,சொத்து வரி தொடர்பான பிரச்சனை தீர்க்கப்படவில்லை,Neutral,0.35,Tamil Nadu,Trichy
MUN_TA_00002,Municipal Administration,Tamil,கட்டிடம் அனுமதி வழங்குவதில் தாமதம்,Neutral,0.34,Tamil Nadu,Erode
MUN_TA_00003,Municipal Administration,Tamil,நகராட்சி அலுவலக ஊழியர்கள் பதில் அளிக்கவில்லை,Neutral,0.57,Tamil Nadu,Salem
MUN_TA_00004,Municipal Administration,Tamil,வணிக உரிமம் வழங்குவதில் தாமதம்,Negative,0.97,Tamil Nadu,Salem
MUN_TA_00005,Municipal Administration,Tamil,பொது நிலத்தில் ஆக்கிரமிப்பு,Neutral,0.42,Tamil Nadu,Erode
MUN_TA_00006,Municipal Administration,Tamil,மரண சான்றிதழ் விண்ணப்பம் நிலுவையில் உள்ளது,Neutral,0.42,Tamil Nadu,Erode
MUN_TA_00007,Municipal Administration,Tamil,பொது நிலத்தில் ஆக்கிரமிப்பு,Negative,0.68,Tamil Nadu,Salem
MUN_TA_00008,Municipal Administration,Tamil,பொது நிலத்தில் ஆக்கிரமிப்பு,Neutral,0.35,Tamil Nadu,Trichy
MUN_TA_00009,Municipal Administration,Tamil,பொது நிலத்தில் ஆக்கிரமிப்பு,Neutral,0.41,Tamil Nadu,Salem
MUN_TA_00010,Municipal Administration,Tamil,பிறப்பு சான்றிதழ் வழங்குவதில் தாமதம்,Negative,0.93,Tamil Nadu,Erode
MUN_TA_00011,Municipal Administration,Tamil,சொத்து வரி தொடர்பான பிரச்சனை தீர்க்கப்படவில்லை,Negative,0.85,Tamil Nadu,Karur
MUN_TA_00012,Municipal Administration,Tamil,தெரு பெயர் பலகை இல்லை,Negative,0.6,Tamil Nadu,Coimbatore
MUN_TA_00013,Municipal Administration,Tamil,சொத்து வரி தொடர்பான பிரச்சனை தீர்க்கப்படவில்லை,Negative,0.64,Tamil Nadu,Erode
MUN_TA_00014,Municipal Administration,Tamil,பிறப்பு சான்றிதழ் வழங்குவதில் தாமதம்,Negative,0.89,Tamil Nadu,Karur
MUN_TA_00015,Municipal Administration,Tamil,பொது நிலத்தில் ஆக்கிரமிப்பு,Negative,0.91,Tamil Nadu,Salem
MUN_TA_00016,Municipal Administration,Tamil,சொத்து வரி தொடர்பான பிரச்சனை தீர்க்கப்படவில்லை,Negative,0.88,Tamil Nadu,Karur
MUN_TA_00017,Municipal Administration,Tamil,பகுதியில் அனுமதியில்லா கட்டிடம் உள்ளது,Negative,0.7,Tamil Nadu,Coimbatore
MUN_TA_00018,Municipal Administration,Tamil,மரண சான்றிதழ் விண்ணப்பம் நிலுவையில் உள்ளது,Negative,0.94,Tamil Nadu,Salem
MUN_TA_00019,Municipal Administration,Tamil,பிறப்பு சான்றிதழ் வழங்குவதில் தாமதம்,Negative,0.7,Tamil Nadu,Coimbatore
MUN_TA_00020,Municipal Administration,Tamil,சொத்து வரி தொடர்பான பிரச்சனை தீர்க்கப்படவில்லை,Neutral,0.36,Tamil Nadu,Erode
MUN_TA_00021,Municipal Administration,Tamil,மரண சான்றிதழ் விண்ணப்பம் நிலுவையில் உள்ளது,Neutral,0.58,Tamil Nadu,Karur
MUN_TA_00022,Municipal Administration,Tamil,வணிக உரிமம் வழங்குவதில் தாமதம்,Negative,0.87,Tamil Nadu,Salem
MUN_TA_00023,Municipal Administration,Tamil,வணிக உரிமம் வழங்குவதில் தாமதம்,Negative,0.9,Tamil Nadu,Karur
MUN_TA_00024,Municipal Administration,Tamil,பொது நிலத்தில் ஆக்கிரமிப்பு,Neutral,0.32,Tamil Nadu,Trichy
MUN_TA_00025,Municipal Administration,Tamil,கட்டிடம் அனுமதி வழங்குவதில் தாமதம்,Neutral,0.56,Tamil Nadu,Karur
MUN_TA_00026,Municipal Administration,Tamil,பகுதியில் அனுமதியில்லா கட்டிடம் உள்ளது,Neutral,0.36,Tamil Nadu,Coimbatore
MUN_TA_00027,Municipal Administration,Tamil,வணிக உரிமம் வழங்குவதில் தாமதம்,Neutral,0.47,Tamil Nadu,Trichy
MUN_TA_00028,Municipal Administration,Tamil,கட்டிடம் அனுமதி வழங்குவதில் தாமதம்,Negative,0.63,Tamil Nadu,Erode
MUN_TA_00029,Municipal Administration,Tamil,வீட்டு எண் ஒதுக்கீடு தாமதமாகிறது,Neutral,0.58,Tamil Nadu,Salem
MUN_TA_00030,Municipal Administration,Tamil,தெரு பெயர் பலகை இல்லை,Neutral,0.31,Tamil Nadu,Trichy
MUN_TA_00031,Municipal Administration,Tamil,கட்டிடம் அனுமதி வழங்குவதில் தாமதம்,Neutral,0.57,Tamil Nadu,Erode
