complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
RD_EN_00001,Public Works (Roads),English,Large potholes on the main road,Negative,0.9,Tamil Nadu,Karur
RD_EN_00002,Public Works (Roads),English,Road accident happened due to poor condition,Negative,0.72,Tamil Nadu,Karur
RD_EN_00003,Public Works (Roads),English,Road accident happened due to poor condition,Neutral,0.35,Tamil Nadu,Coimbatore
RD_EN_00004,Public Works (Roads),English,Footpath damaged and unsafe for walking,Negative,0.83,Tamil Nadu,Erode
RD_EN_00005,Public Works (Roads),English,Street road completely broken after rain,Neutral,0.35,Tamil Nadu,Erode
RD_EN_00006,Public Works (Roads),English,Road surface peeling off,Neutral,0.43,Tamil Nadu,Trichy
RD_EN_00007,Public Works (Roads),English,Road repair work incomplete for many days,Negative,0.68,Tamil Nadu,Erode
RD_EN_00008,Public Works (Roads),English,Construction debris blocking the road,Negative,0.72,Tamil Nadu,Karur
RD_EN_00009,Public Works (Roads),English,Drainage water overflowing onto the road,Negative,0.85,Tamil Nadu,Coimbatore
RD_EN_00010,Public Works (Roads),English,Drainage water overflowing onto the road,Negative,0.69,Tamil Nadu,Erode
RD_EN_00011,Public Works (Roads),English,Street road completely broken after rain,Negative,0.89,Tamil Nadu,Coimbatore
RD_EN_00012,Public Works (Roads),English,Footpath damaged and unsafe for walking,Neutral,0.52,Tamil Nadu,Erode
RD_EN_00013,Public Works (Roads),English,No proper road lighting at night,Negative,0.79,Tamil Nadu,Erode
RD_EN_00014,Public Works (Roads),English,Road damaged severely causing traffic issues,Neutral,0.56,Tamil Nadu,Salem
RD_EN_00015,Public Works (Roads),English,Road surface peeling off,Negative,0.67,Tamil Nadu,Coimbatore
RD_EN_00016,Public Works (Roads),English,Road surface peeling off,Negative,0.77,Tamil Nadu,Coimbatore
RD_EN_00017,Public Works (Roads),English,Street road completely broken after rain,Neutral,0.36,Tamil Nadu,Salem
RD_EN_00018,Public Works (Roads),English,Drainage water overflowing onto the road,Neutral,0.36,Tamil Nadu,Karur
RD_EN_00019,Public Works (Roads),English,Road damaged severely causing traffic issues,Neutral,0.48,Tamil Nadu,Coimbatore
RD_EN_00020,Public Works (Roads),English,Road accident happened due to poor condition,Neutral,0.47,Tamil Nadu,Karur
RD_EN_00021,Public Works (Roads),English,Large potholes on the main road,Negative,0.99,Tamil Nadu,Trichy
RD_EN_00022,Public Works (Roads),English,Street road completely broken after rain,Neutral,0.4,Tamil Nadu,Trichy
RD_EN_00023,Public Works (Roads),English,No proper road lighting at night,Neutral,0.34,Tamil Nadu,Erode
