complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
RD_TA_00001,Public Works (Roads),Tamil,சாலை மிகவும் சேதமடைந்து போக்குவரத்திற்கு இடையூறு,Negative,0.94,Tamil Nadu,Trichy
RD_TA_00002,Public Works (Roads),Tamil,சாலை பழுது பார்க்கும் பணி பல நாட்களாக முடிவடையவில்லை,Neutral,0.41,Tamil Nadu,Salem
RD_TA_00003,Public Works (Roads),Tamil,முக்கிய சாலையில் பெரிய குழிகள் உள்ளன,Negative,0.88,Tamil Nadu,Karur
RD_TA_00004,Public Works (Roads),Tamil,மழைக்கு பிறகு சாலை முழுவதும் சேதமடைந்துள்ளது,Neutral,0.48,Tamil Nadu,Coimbatore
RD_TA_00005,Public Works (Roads),Tamil,சாலை நிலை காரணமாக விபத்து ஏற்பட்டுள்ளது,Neutral,0.32,Tamil Nadu,Erode
RD_TA_00006,Public Works (Roads),Tamil,சாலை மேற்பரப்பு உரிந்து வருகிறது,Neutral,0.47,Tamil Nadu,Salem
RD_TA_00007,Public Works (Roads),Tamil,சாலை மிகவும் சேதமடைந்து போக்குவரத்திற்கு இடையூறு,Negative,0.68,Tamil Nadu,Trichy
RD_TA_00008,Public Works (Roads),Tamil,நடைக்கால பாதை சேதமடைந்துள்ளது,Negative,0.88,Tamil Nadu,Erode
RD_TA_00009,Public Works (Roads),Tamil,மழைக்கு பிறகு சாலை முழுவதும் சேதமடைந்துள்ளது,Negative,0.77,Tamil Nadu,Karur
RD_TA_00010,Public Works (Roads),Tamil,சாலையில் கழிவுநீர் பெருக்கெடுத்து ஓடுகிறது,Neutral,0.51,Tamil Nadu,Trichy
RD_TA_00011,Public Works (Roads),Tamil,சாலை மிகவும் சேதமடைந்து போக்குவரத்திற்கு இடையூறு,Neutral,0.5,Tamil Nadu,Trichy
RD_TA_00012,Public Works (Roads),Tamil,சாலை மேல் கட்டுமான கழிவுகள் உள்ளன,Neutral,0.52,Tamil Nadu,Karur
RD_TA_00013,Public Works (Roads),Tamil,சாலை மேல் கட்டுமான கழிவுகள் உள்ளன,Neutral,0.45,Tamil Nadu,Erode
RD_TA_00014,Public Works (Roads),Tamil,மழைக்கு பிறகு சாலை முழுவதும் சேதமடைந்துள்ளது,Neutral,0.53,Tamil Nadu,Coimbatore
RD_TA_00015,Public Works (Roads),Tamil,சாலை மிகவும் சேதமடைந்து போக்குவரத்திற்கு இடையூறு,Neutral,0.47,Tamil Nadu,Karur
RD_TA_00016,Public Works (Roads),Tamil,இரவு நேரத்தில் சாலை விளக்குகள் இல்லை,Negative,0.93,Tamil Nadu,Trichy
RD_TA_00017,Public Works (Roads),Tamil,சாலையில் கழிவுநீர் பெருக்கெடுத்து ஓடுகிறது,Neutral,0.4,Tamil Nadu,Salem
RD_TA_00018,Public Works (Roads),Tamil,முக்கிய சாலையில் பெரிய குழிகள் உள்ளன,Neutral,0.4,Tamil Nadu,Erode
RD_TA_00019,Public Works (Roads),Tamil,முக்கிய சாலையில் பெரிய குழிகள் உள்ளன,Negative,0.68,Tamil Nadu,Salem
RD_TA_00020,Public Works (Roads),Tamil,சாலை மிகவும் சேதமடைந்து போக்குவரத்திற்கு இடையூறு,Neutral,0.35,Tamil Nadu,Erode
RD_TA_00021,Public Works (Roads),Tamil,சாலை பழுது பார்க்கும் பணி பல நாட்களாக முடிவடையவில்லை,Neutral,0.31,Tamil Nadu,Karur
RD_TA_00022,Public Works (Roads),Tamil,முக்கிய சாலையில் பெரிய குழிகள் உள்ளன,Negative,0.7,Tamil Nadu,Erode
RD_TA_00023,Public Works (Roads),Tamil,சாலை மிகவும் சேதமடைந்து போக்குவரத்திற்கு இடையூறு,Neutral,0.52,Tamil Nadu,Erode
RD_TA_00024,Public Works (Roads),Tamil,இரவு நேரத்தில் சாலை விளக்குகள் இல்லை,Neutral,0.36,Tamil Nadu,Trichy
RD_TA_00025,Public Works (Roads),Tamil,நடைக்கால பாதை சேதமடைந்துள்ளது,Negative,0.98,Tamil Nadu,Karur
RD_TA_00026,Public Works (Roads),Tamil,மழைக்கு பிறகு சாலை முழுவதும் சேதமடைந்துள்ளது,Neutral,0.47,Tamil Nadu,Karur
RD_TA_00027,Public Works (Roads),Tamil,இரவு நேரத்தில் சாலை விளக்குகள் இல்லை,Negative,0.76,Tamil Nadu,Salem
RD_TA_00028,Public Works (Roads),Tamil,முக்கிய சாலையில் பெரிய குழிகள் உள்ளன,Negative,0.95,Tamil Nadu,Karur
RD_TA_00029,Public Works (Roads),Tamil,சாலை மேல் கட்டுமான கழிவுகள் உள்ளன,Neutral,0.53,Tamil Nadu,Salem
RD_TA_00030,Public Works (Roads),Tamil,சாலை பழுது பார்க்கும் பணி பல நாட்களாக முடிவடையவில்லை,Negative,0.7,Tamil Nadu,Erode
RD_TA_00031,Public Works (Roads),Tamil,சாலை பழுது பார்க்கும் பணி பல நாட்களாக முடிவடையவில்லை,Negative,0.73,Tamil Nadu,Karur
RD_TA_00032,Public Works (Roads),Tamil,மழைக்கு பிறகு சாலை முழுவதும் சேதமடைந்துள்ளது,Neutral,0.44,Tamil Nadu,Karur
RD_TA_00033,Public Works (Roads),Tamil,முக்கிய சாலையில் பெரிய குழிகள் உள்ளன,Negative,0.72,Tamil Nadu,Coimbatore
RD_TA_00034,Public Works (Roads),Tamil,மழைக்கு பிறகு சாலை முழுவதும் சேதமடைந்துள்ளது,Negative,0.8,Tamil Nadu,Erode
RD_TA_00035,Public Works (Roads),Tamil,இரவு நேரத்தில் சாலை விளக்குகள் இல்லை,Negative,0.88,Tamil Nadu,Erode
RD_TA_00036,Public Works (Roads),Tamil,சாலை மேல் கட்டுமான கழிவுகள் உள்ளன,Neutral,0.4,Tamil Nadu,Salem
RD_TA_00037,Public Works (Roads),Tamil,சாலை மேல் கட்டுமான கழிவுகள் உள்ளன,Neutral,0.33,Tamil Nadu,Karur
RD_TA_00038,Public Works (Roads),Tamil,மழைக்கு பிறகு சாலை முழுவதும் சேதமடைந்துள்ளது,Negative,0.84,Tamil Nadu,Coimbatore
RD_TA_00039,Public Works (Roads),Tamil,சாலை நிலை காரணமாக விபத்து ஏற்பட்டுள்ளது,Neutral,0.45,Tamil Nadu,Salem
RD_TA_00040,Public Works (Roads),Tamil,சாலை மேற்பரப்பு உரிந்து வருகிறது,Neutral,0.47,Tamil Nadu,Trichy
RD_TA_00041,Public Works (Roads),Tamil,முக்கிய சாலையில் பெரிய குழிகள் உள்ளன,Neutral,0.57,Tamil Nadu,Karur
RD_TA_00042,Public Works (Roads),Tamil,இரவு நேரத்தில் சாலை விளக்குகள் இல்லை,Neutral,0.41,Tamil Nadu,Coimbatore
RD_TA_00043,Public Works (Roads),Tamil,சாலை பழுது பார்க்கும் பணி பல நாட்களாக முடிவடையவில்லை,Negative,0.95,Tamil Nadu,Erode
RD_TA_00044,Public Works (Roads),Tamil,முக்கிய சாலையில் பெரிய குழிகள் உள்ளன,Negative,0.77,Tamil Nadu,Trichy
RD_TA_00045,Public Works (Roads),Tamil,சாலை மேல் கட்டுமான கழிவுகள் உள்ளன,Negative,0.8,Tamil Nadu,Erode
RD_TA_00046,Public Works (Roads),Tamil,இரவு நேரத்தில் சாலை விளக்குகள் இல்லை,Negative,0.76,Tamil Nadu,Erode
RD_TA_00047,Public Works (Roads),Tamil,சாலை பழுது பார்க்கும் பணி பல நாட்களாக முடிவடையவில்லை,Neutral,0.46,Tamil Nadu,Salem
RD_TA_00048,Public Works (Roads),Tamil,சாலை பழுது பார்க்கும் பணி பல நாட்களாக முடிவடையவில்லை,Neutral,0.43,Tamil Nadu,Coimbatore
RD_TA_00049,Public Works (Roads),Tamil,முக்கிய சாலையில் பெரிய குழிகள் உள்ளன,Negative,0.94,Tamil Nadu,Salem
RD_TA_00050,Public Works (Roads),Tamil,சாலை நிலை காரணமாக விபத்து ஏற்பட்டுள்ளது,Neutral,0.56,Tamil Nadu,Erode
RD_TA_00051,Public Works (Roads),Tamil,நடைக்கால பாதை சேதமடைந்துள்ளது,Negative,0.81,Tamil Nadu,Coimbatore
RD_TA_00052,Public Works (Roads),Tamil,இரவு நேரத்தில் சாலை விளக்குகள் இல்லை,Neutral,0.46,Tamil Nadu,Coimbatore
RD_TA_00053,Public Works (Roads),Tamil,சாலையில் கழிவுநீர் பெருக்கெடுத்து ஓடுகிறது,Neutral,0.42,Tamil Nadu,Trichy
RD_TA_00054,Public Works (Roads),Tamil,சாலை மேற்பரப்பு உரிந்து வருகிறது,Neutral,0.43,Tamil Nadu,Karur
RD_TA_00055,Public Works (Roads),Tamil,நடைக்கால பாதை சேதமடைந்துள்ளது,Neutral,0.55,Tamil Nadu,Erode
RD_TA_00056,Public Works (Roads),Tamil,இரவு நேரத்தில் சாலை விளக்குகள் இல்லை,Negative,0.78,Tamil Nadu,Salem
RD_TA_00057,Public Works (Roads),Tamil,சாலை பழுது பார்க்கும் பணி பல நாட்களாக முடிவடையவில்லை,Neutral,0.38,Tamil Nadu,Salem
RD_TA_00058,Public Works (Roads),Tamil,இரவு நேரத்தில் சாலை விளக்குகள் இல்லை,Neutral,0.42,Tamil Nadu,Salem
RD_TA_00059,Public Works (Roads),Tamil,சாலை பழுது பார்க்கும் பணி பல நாட்களாக முடிவடையவில்லை,Negative,0.8,Tamil Nadu,Karur
RD_TA_00060,Public Works (Roads),Tamil,சாலை பழுது பார்க்கும் பணி பல நாட்களாக முடிவடையவில்லை,Negative,0.87,Tamil Nadu,Trichy
RD_TA_00061,Public Works (Roads),Tamil,முக்கிய சாலையில் பெரிய குழிகள் உள்ளன,Neutral,0.36,Tamil Nadu,Erode
RD_TA_00062,Public Works (Roads),Tamil,மழைக்கு பிறகு சாலை முழுவதும் சேதமடைந்துள்ளது,Neutral,0.45,Tamil Nadu,Karur
RD_TA_00063,Public Works (Roads),Tamil,முக்கிய சாலையில் பெரிய குழிகள் உள்ளன,Neutral,0.59,Tamil Nadu,Trichy
RD_TA_00064,Public Works (Roads),Tamil,சாலை பழுது பார்க்கும் பணி பல நாட்களாக முடிவடையவில்லை,Neutral,0.45,Tamil Nadu,Karur
RD_TA_00065,Public Works (Roads),Tamil,சாலை மேல் கட்டுமான கழிவுகள் உள்ளன,Negative,0.79,Tamil Nadu,Salem
RD_TA_00066,Public Works (Roads),Tamil,முக்கிய சாலையில் பெரிய குழிகள் உள்ளன,Neutral,0.45,Tamil Nadu,Salem
RD_TA_00067,Public Works (Roads),Tamil,சாலையில் கழிவுநீர் பெருக்கெடுத்து ஓடுகிறது,Neutral,0.52,Tamil Nadu,Salem
