complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
SAN_EN_00001,Sanitation & Waste Management,English,Plastic waste scattered on roads,Negative,0.94,Tamil Nadu,Erode
SAN_EN_00002,Sanitation & Waste Management,English,Plastic waste scattered on roads,Neutral,0.42,Tamil Nadu,Trichy
SAN_EN_00003,Sanitation & Waste Management,English,No regular waste collection service,Negative,0.63,Tamil Nadu,Coimbatore
SAN_EN_00004,Sanitation & Waste Management,English,Bad smell due to accumulated garbage,Neutral,0.37,Tamil Nadu,Trichy
SAN_EN_00005,Sanitation & Waste Management,English,Plastic waste scattered on roads,Neutral,0.39,Tamil Nadu,Trichy
SAN_EN_00006,Sanitation & Waste Management,English,Open dumping of garbage near houses,Neutral,0.45,Tamil Nadu,Coimbatore
SAN_EN_00007,Sanitation & Waste Management,English,Open dumping of garbage near houses,Negative,0.92,Tamil Nadu,Trichy
SAN_EN_00008,Sanitation & Waste Management,English,Plastic waste scattered on roads,Neutral,0.36,Tamil Nadu,Erode
SAN_EN_00009,Sanitation & Waste Management,English,Public toilets not cleaned properly,Negative,0.68,Tamil Nadu,Salem
SAN_EN_00010,Sanitation & Waste Management,English,Drain cleaning not done properly,Negative,1.0,Tamil Nadu,Coimbatore
SAN_EN_00011,Sanitation & Waste Management,English,Drain cleaning not done properly,Negative,0.8,Tamil Nadu,Salem
SAN_EN_00012,Sanitation & Waste Management,English,No regular waste collection service,Negative,0.72,Tamil Nadu,Karur
SAN_EN_00013,Sanitation & Waste Management,English,Overflowing waste bins in residential area,Neutral,0.31,Tamil Nadu,Salem
SAN_EN_00014,Sanitation & Waste Management,English,Open dumping of garbage near houses,Negative,0.66,Tamil Nadu,Salem
SAN_EN_00015,Sanitation & Waste Management,English,Public toilets not cleaned properly,Negative,0.62,Tamil Nadu,Coimbatore
SAN_EN_00016,Sanitation & Waste Management,English,Sanitation workers not visiting the area,Neutral,0.42,Tamil Nadu,Coimbatore
SAN_EN_00017,Sanitation & Waste Management,English,Drain cleaning not done properly,Neutral,0.42,Tamil Nadu,Trichy
SAN_EN_00018,Sanitation & Waste Management,English,Public toilets not cleaned properly,Neutral,0.4,Tamil Nadu,Trichy
SAN_EN_00019,Sanitation & Waste Management,English,Open dumping of garbage near houses,Neutral,0.36,Tamil Nadu,Coimbatore
SAN_EN_00020,Sanitation & Waste Management,English,Mosquito breeding due to waste,Neutral,0.39,Tamil Nadu,Erode
SAN_EN_00021,Sanitation & Waste Management,English,Open dumping of garbage near houses,Negative,0.74,Tamil Nadu,Salem
SAN_EN_00022,Sanitation & Waste Management,English,Bad smell due to accumulated garbage,Neutral,0.4,Tamil Nadu,Trichy
SAN_EN_00023,Sanitation & Waste Management,English,Drain cleaning not done properly,Negative,0.76,Tamil Nadu,Coimbatore
SAN_EN_00024,Sanitation & Waste Management,English,Mosquito breeding due to waste,Negative,0.79,Tamil Nadu,Salem
SAN_EN_00025,Sanitation & Waste Management,English,Plastic waste scattered on roads,Neutral,0.52,Tamil Nadu,Coimbatore
SAN_EN_00026,Sanitation & Waste Management,English,Drain cleaning not done properly,Negative,0.95,Tamil Nadu,Coimbatore
SAN_EN_00027,Sanitation & Waste Management,English,Open dumping of garbage near houses,Negative,0.91,Tamil Nadu,Trichy
