complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
SAN_HI_00001,Sanitation & Waste Management,Hindi,नालियों की सफाई ठीक से नहीं हुई है,Neutral,0.33,Tamil Nadu,Coimbatore
SAN_HI_00002,Sanitation & Waste Management,Hindi,घरों के पास खुले में कचरा डाला जा रहा है,Neutral,0.57,Tamil Nadu,Salem
SAN_HI_00003,Sanitation & Waste Management,Hindi,घरों के पास खुले में कचरा डाला जा रहा है,Negative,0.85,Tamil Nadu,Karur
SAN_HI_00004,Sanitation & Waste Management,Hindi,नियमित कचरा संग्रह सेवा नहीं है,Negative,0.66,Tamil Nadu,Trichy
SAN_HI_00005,Sanitation & Waste Management,Hindi,सार्वजनिक शौचालय ठीक से साफ नहीं किए गए हैं,Negative,0.88,Tamil Nadu,Coimbatore
SAN_HI_00006,Sanitation & Waste Management,Hindi,सार्वजनिक शौचालय ठीक से साफ नहीं किए गए हैं,Negative,0.88,Tamil Nadu,Erode
SAN_HI_00007,Sanitation & Waste Management,Hindi,इकट्ठे कचरे से बदबू आ रही है,Negative,0.7,Tamil Nadu,Coimbatore
SAN_HI_00008,Sanitation & Waste Management,Hindi,सफाई कर्मचारी इलाके में नहीं आ रहे हैं,Neutral,0.33,Tamil Nadu,Trichy
SAN_HI_00009,Sanitation & Waste Management,Hindi,कचरे के कारण मच्छरों की समस्या,Neutral,0.42,Tamil Nadu,Coimbatore
SAN_HI_00010,Sanitation & Waste Management,Hindi,नियमित कचरा संग्रह सेवा नहीं है,Negative,0.77,Tamil Nadu,Coimbatore
SAN_HI_00011,Sanitation & Waste Management,Hindi,घरों के पास खुले में कचरा डाला जा रहा है,Negative,0.84,Tamil Nadu,Karur
SAN_HI_00012,Sanitation & Waste Management,Hindi,नालियों की सफाई ठीक से नहीं हुई है,Negative,0.99,Tamil Nadu,Salem
SAN_HI_00013,Sanitation & Waste Management,Hindi,नियमित कचरा संग्रह सेवा नहीं है,Neutral,0.51,Tamil Nadu,Salem
SAN_HI_00014,Sanitation & Waste Management,Hindi,सफाई कर्मचारी इलाके में नहीं आ रहे हैं,Negative,0.71,Tamil Nadu,Coimbatore
SAN_HI_00015,Sanitation & Waste Management,Hindi,इकट्ठे कचरे से बदबू आ रही है,Neutral,0.46,Tamil Nadu,Coimbatore
SAN_HI_00016,Sanitation & Waste Management,Hindi,इकट्ठे कचरे से बदबू आ रही है,Neutral,0.57,Tamil Nadu,Erode
SAN_HI_00017,Sanitation & Waste Management,Hindi,नालियों की सफाई ठीक से नहीं हुई है,Negative,0.64,Tamil Nadu,Coimbatore
SAN_HI_00018,Sanitation & Waste Management,Hindi,घरों के पास खुले में कचरा डाला जा रहा है,Negative,0.73,Tamil Nadu,Erode
SAN_HI_00019,Sanitation & Waste Management,Hindi,नालियों की सफाई ठीक से नहीं हुई है,Negative,0.78,Tamil Nadu,Salem
SAN_HI_00020,Sanitation & Waste Management,Hindi,नालियों की सफाई ठीक से नहीं हुई है,Negative,0.79,Tamil Nadu,Salem
