complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
SAN_TA_00001,Sanitation & Waste Management,Tamil,பொது கழிப்பறைகள் சரியாக சுத்தம் செய்யப்படவில்லை,Negative,0.99,Tamil Nadu,Salem
SAN_TA_00002,Sanitation & Waste Management,Tamil,குப்பை சேகரிப்பு சேவை ஒழுங்காக இல்லை,Neutral,0.54,Tamil Nadu,Salem
SAN_TA_00003,Sanitation & Waste Management,Tamil,பல நாட்களாக குப்பை சேகரிக்கப்படவில்லை,Negative,0.95,Tamil Nadu,Salem
SAN_TA_00004,Sanitation & Waste Management,Tamil,வீடுகளுக்கு அருகே திறந்தவெளியில் குப்பை குவிப்பு,Neutral,0.31,Tamil Nadu,Karur
SAN_TA_00005,Sanitation & Waste Management,Tamil,சாலைகளில் பிளாஸ்டிக் குப்பை பரவியுள்ளது,Neutral,0.52,Tamil Nadu,Erode
SAN_TA_00006,Sanitation & Waste Management,Tamil,குப்பை சேகரிப்பு சேவை ஒழுங்காக இல்லை,Neutral,0.47,Tamil Nadu,Karur
SAN_TA_00007,Sanitation & Waste Management,Tamil,குப்பை சேகரிப்பு சேவை ஒழுங்காக இல்லை,Neutral,0.34,Tamil Nadu,Trichy
SAN_TA_00008,Sanitation & Waste Management,Tamil,வீடுகளுக்கு அருகே திறந்தவெளியில் குப்பை குவிப்பு,Neutral,0.36,Tamil Nadu,Coimbatore
SAN_TA_00009,Sanitation & Waste Management,Tamil,பொது கழிப்பறைகள் சரியாக சுத்தம் செய்யப்படவில்லை,Negative,0.94,Tamil Nadu,Erode
SAN_TA_00010,Sanitation & Waste Management,Tamil,வீடுகளுக்கு அருகே திறந்தவெளியில் குப்பை குவிப்பு,Negative,0.98,Tamil Nadu,Salem
SAN_TA_00011,Sanitation & Waste Management,Tamil,பல நாட்களாக குப்பை சேகரிக்கப்படவில்லை,Neutral,0.58,Tamil Nadu,Coimbatore
SAN_TA_00012,Sanitation & Waste Management,Tamil,சாலைகளில் பிளாஸ்டிக் குப்பை பரவியுள்ளது,Negative,0.73,Tamil Nadu,Erode
SAN_TA_00013,Sanitation & Waste Management,Tamil,குப்பை சேகரிப்பு சேவை ஒழுங்காக இல்லை,Negative,0.83,Tamil Nadu,Coimbatore
SAN_TA_00014,Sanitation & Waste Management,Tamil,குப்பை சேகரிப்பு சேவை ஒழுங்காக இல்லை,Neutral,0.37,Tamil Nadu,Coimbatore
