complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
TRN_EN_00001,Transport Services,English,Bus stop lacks proper shelter,Negative,1.0,Tamil Nadu,Trichy
TRN_EN_00002,Transport Services,English,Government bus not running on scheduled time,Negative,0.63,Tamil Nadu,Trichy
TRN_EN_00003,Transport Services,English,Bus fare increased without notice,Negative,0.64,Tamil Nadu,Coimbatore
TRN_EN_00004,Transport Services,English,Bus conductor behaving rudely,Negative,0.95,Tamil Nadu,Salem
TRN_EN_00005,Transport Services,English,Overcrowding in public buses,Neutral,0.42,Tamil Nadu,Salem
TRN_EN_00006,Transport Services,English,Bus conductor behaving rudely,Negative,0.7,Tamil Nadu,Salem
TRN_EN_00007,Transport Services,English,Bus stop lacks proper shelter,Negative,0.9,Tamil Nadu,Salem
TRN_EN_00008,Transport Services,English,No bus service available for this route,Negative,0.75,Tamil Nadu,Karur
TRN_EN_00009,Transport Services,English,Overcrowding in public buses,Neutral,0.47,Tamil Nadu,Salem
TRN_EN_00010,Transport Services,English,Poor condition of buses,Negative,0.87,Tamil Nadu,Trichy
TRN_EN_00011,Transport Services,English,Delay in issuing bus passes,Neutral,0.47,Tamil Nadu,Karur
TRN_EN_00012,Transport Services,English,Overcrowding in public buses,Neutral,0.42,Tamil Nadu,Coimbatore
TRN_EN_00013,Transport Services,English,Frequent breakdown of buses,Negative,0.94,Tamil Nadu,Karur
TRN_EN_00014,Transport Services,English,Bus fare increased without notice,Negative,0.98,Tamil Nadu,Trichy
TRN_EN_00015,Transport Services,English,No bus service available for this route,Negative,0.99,Tamil Nadu,Salem
TRN_EN_00016,Transport Services,English,Delay in issuing bus passes,Negative,0.9,Tamil Nadu,Salem
TRN_EN_00017,Transport Services,English,Bus fare increased without notice,Negative,0.81,Tamil Nadu,Coimbatore
TRN_EN_00018,Transport Services,English,No bus service available for this route,Negative,0.72,Tamil Nadu,Erode
TRN_EN_00019,Transport Services,English,Unsafe driving by bus driver,Negative,0.85,Tamil Nadu,Erode
TRN_EN_00020,Transport Services,English,Bus fare increased without notice,Neutral,0.48,Tamil Nadu,Salem
TRN_EN_00021,Transport Services,English,Poor condition of buses,Neutral,0.52,Tamil Nadu,Coimbatore
TRN_EN_00022,Transport Services,English,Delay in issuing bus passes,Negative,0.98,Tamil Nadu,Erode
TRN_EN_00023,Transport Services,English,No bus service available for this route,Neutral,0.33,Tamil Nadu,Trichy
TRN_EN_00024,Transport Services,English,No bus service available for this route,Neutral,0.38,Tamil Nadu,Karur
TRN_EN_00025,Transport Services,English,Bus fare increased without notice,Negative,0.81,Tamil Nadu,Coimbatore
TRN_EN_00026,Transport Services,English,Poor condition of buses,Neutral,0.46,Tamil Nadu,Trichy
TRN_EN_00027,Transport Services,English,Poor condition of buses,Negative,0.99,Tamil Nadu,Karur
TRN_EN_00028,Transport Services,English,Bus conductor behaving rudely,Neutral,0.3,Tamil Nadu,Salem
TRN_EN_00029,Transport Services,English,Overcrowding in public buses,Neutral,0.44,Tamil Nadu,Coimbatore
TRN_EN_00030,Transport Services,English,Bus fare increased without notice,Negative,0.7,Tamil Nadu,Salem
TRN_EN_00031,Transport Services,English,Overcrowding in public buses,Neutral,0.58,Tamil Nadu,Erode
TRN_EN_00032,Transport Services,English,Bus conductor behaving rudely,Negative,0.7,Tamil Nadu,Trichy
TRN_EN_00033,Transport Services,English,Frequent breakdown of buses,Neutral,0.34,Tamil Nadu,Karur
TRN_EN_00034,Transport Services,English,Bus stop lacks proper shelter,Neutral,0.34,Tamil Nadu,Salem
TRN_EN_00035,Transport Services,English,Unsafe driving by bus driver,Negative,0.66,Tamil Nadu,Coimbatore
TRN_EN_00036,Transport Services,English,Government bus not running on scheduled time,Negative,0.69,Tamil Nadu,Trichy
TRN_EN_00037,Transport Services,English,Bus stop lacks proper shelter,Neutral,0.31,Tamil Nadu,Trichy
TRN_EN_00038,Transport Services,English,Overcrowding in public buses,Neutral,0.59,Tamil Nadu,Coimbatore
TRN_EN_00039,Transport Services,English,Frequent breakdown of buses,Neutral,0.48,Tamil Nadu,Erode
TRN_EN_00040,Transport Services,English,Bus stop lacks proper shelter,Negative,0.78,Tamil Nadu,Coimbatore
TRN_EN_00041,Transport Services,English,Unsafe driving by bus driver,Negative,0.85,Tamil Nadu,Erode
TRN_EN_00042,Transport Services,English,Overcrowding in public buses,Neutral,0.44,Tamil Nadu,Karur
TRN_EN_00043,Transport Services,English,No bus service available for this route,Negative,0.76,Tamil Nadu,Trichy
TRN_EN_00044,Transport Services,English,Unsafe driving by bus driver,Neutral,0.51,Tamil Nadu,Coimbatore
TRN_EN_00045,Transport Services,English,No bus service available for this route,Negative,0.75,Tamil Nadu,Coimbatore
TRN_EN_00046,Transport Services,English,Bus stop lacks proper shelter,Negative,0.62,Tamil Nadu,Trichy
TRN_EN_00047,Transport Services,English,Poor condition of buses,Negative,0.82,Tamil Nadu,Salem
TRN_EN_00048,Transport Services,English,Unsafe driving by bus driver,Neutral,0.4,Tamil Nadu,Salem
TRN_EN_00049,Transport Services,English,Poor condition of buses,Neutral,0.58,Tamil Nadu,Salem
TRN_EN_00050,Transport Services,English,Bus fare increased without notice,Negative,0.61,Tamil Nadu,Coimbatore
TRN_EN_00051,Transport Services,English,Delay in issuing bus passes,Neutral,0.48,Tamil Nadu,Erode
TRN_EN_00052,Transport Services,English,No bus service available for this route,Neutral,0.34,Tamil Nadu,Erode
TRN_EN_00053,Transport Services,English,Delay in issuing bus passes,Neutral,0.32,Tamil Nadu,Coimbatore
TRN_EN_00054,Transport Services,English,Bus fare increased without notice,Neutral,0.54,Tamil Nadu,Trichy
TRN_EN_00055,Transport Services,English,No bus service available for this route,Neutral,0.5,Tamil Nadu,Coimbatore
TRN_EN_00056,Transport Services,English,Overcrowding in public buses,Neutral,0.33,Tamil Nadu,Coimbatore
TRN_EN_00057,Transport Services,English,Unsafe driving by bus driver,Neutral,0.57,Tamil Nadu,Salem
TRN_EN_00058,Transport Services,English,Bus stop lacks proper shelter,Negative,0.87,Tamil Nadu,Erode
TRN_EN_00059,Transport Services,English,Delay in issuing bus passes,Negative,0.85,Tamil Nadu,Coimbatore
TRN_EN_00060,Transport Services,English,Unsafe driving by bus driver,Neutral,0.49,Tamil Nadu,Karur
TRN_EN_00061,Transport Services,English,Bus fare increased without notice,Neutral,0.52,Tamil Nadu,Coimbatore
TRN_EN_00062,Transport Services,English,No bus service available for this route,Negative,0.8,Tamil Nadu,Karur
TRN_EN_00063,Transport Services,English,Overcrowding in public buses,Neutral,0.49,Tamil Nadu,Salem
TRN_EN_00064,Transport Services,English,Delay in issuing bus passes,Neutral,0.45,Tamil Nadu,Trichy
TRN_EN_00065,Transport Services,English,Overcrowding in public buses,Negative,0.75,Tamil Nadu,Coimbatore
TRN_EN_00066,Transport Services,English,Unsafe driving by bus driver,Negative,0.98,Tamil Nadu,Trichy
TRN_EN_00067,Transport Services,English,Overcrowding in public buses,Negative,0.63,Tamil Nadu,Trichy
TRN_EN_00068,Transport Services,English,Delay in issuing bus passes,Negative,0.6,Tamil Nadu,Erode
TRN_EN_00069,Transport Services,English,Poor condition of buses,Negative,0.89,Tamil Nadu,Coimbatore
TRN_EN_00070,Transport Services,English,Bus conductor behaving rudely,Neutral,0.55,Tamil Nadu,Trichy
TRN_EN_00071,Transport Services,English,Bus fare increased without notice,Neutral,0.53,Tamil Nadu,Erode
TRN_EN_00072,Transport Services,English,Bus conductor behaving rudely,Neutral,0.45,Tamil Nadu,Karur
TRN_EN_00073,Transport Services,English,Frequent breakdown of buses,Negative,0.76,Tamil Nadu,Trichy
TRN_EN_00074,Transport Services,English,Delay in issuing bus passes,Negative,0.64,Tamil Nadu,Salem
TRN_EN_00075,Transport Services,English,Frequent breakdown of buses,Neutral,0.36,Tamil Nadu,Salem
TRN_EN_00076,Transport Services,English,Overcrowding in public buses,Negative,0.69,Tamil Nadu,Erode
TRN_EN_00077,Transport Services,English,Frequent breakdown of buses,Negative,0.97,Tamil Nadu,Salem
TRN_EN_00078,Transport Services,English,No bus service available for this route,Neutral,0.46,Tamil Nadu,Trichy
TRN_EN_00079,Transport Services,English,Unsafe driving by bus driver,Neutral,0.39,Tamil Nadu,Coimbatore
TRN_EN_00080,Transport Services,English,Overcrowding in public buses,Negative,0.66,Tamil Nadu,Coimbatore
TRN_EN_00081,Transport Services,English,Overcrowding in public buses,Neutral,0.42,Tamil Nadu,Trichy
TRN_EN_00082,Transport Services,English,Delay in issuing bus passes,Neutral,0.44,Tamil Nadu,Karur
TRN_EN_00083,Transport Services,English,Overcrowding in public buses,Neutral,0.59,Tamil Nadu,Salem
TRN_EN_00084,Transport Services,English,Unsafe driving by bus driver,Negative,0.65,Tamil Nadu,Coimbatore
TRN_EN_00085,Transport Services,English,Bus conductor behaving rudely,Negative,0.66,Tamil Nadu,Trichy
TRN_EN_00086,Transport Services,English,Overcrowding in public buses,Neutral,0.41,Tamil Nadu,Coimbatore
TRN_EN_00087,Transport Services,English,Delay in issuing bus passes,Neutral,0.32,Tamil Nadu,Trichy
