complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
TRN_TA_00001,Transport Services,Tamil,பேருந்து நடத்துனர் மோசமாக நடந்து கொள்கிறார்,Negative,0.8,Tamil Nadu,Trichy
TRN_TA_00002,Transport Services,Tamil,பேருந்து ஓட்டுநர் பாதுகாப்பற்ற முறையில் ஓட்டுகிறார்,Neutral,0.46,Tamil Nadu,Karur
TRN_TA_00003,Transport Services,Tamil,பேருந்துகள் மோசமான நிலையில் உள்ளன,Negative,0.82,Tamil Nadu,Erode
TRN_TA_00004,Transport Services,Tamil,பேருந்து நிறுத்தத்தில் சரியான தங்குமிடம் இல்லை,Neutral,0.3,Tamil Nadu,Salem
TRN_TA_00005,Transport Services,Tamil,பேருந்து நிறுத்தத்தில் சரியான தங்குமிடம் இல்லை,Negative,0.62,Tamil Nadu,Salem
TRN_TA_00006,Transport Services,Tamil,பேருந்து நடத்துனர் மோசமாக நடந்து கொள்கிறார்,Neutral,0.43,Tamil Nadu,Erode
TRN_TA_00007,Transport Services,Tamil,பொது பேருந்துகளில் மிக அதிக கூட்டம்,Neutral,0.53,Tamil Nadu,Karur
TRN_TA_00008,Transport Services,Tamil,பொது பேருந்துகளில் மிக அதிக கூட்டம்,Neutral,0.39,Tamil Nadu,Karur
TRN_TA_00009,Transport Services,Tamil,பேருந்து நிறுத்தத்தில் சரியான தங்குமிடம் இல்லை,Neutral,0.37,Tamil Nadu,Coimbatore
TRN_TA_00010,Transport Services,Tamil,பொது பேருந்துகளில் மிக அதிக கூட்டம்,Neutral,0.46,Tamil Nadu,Erode
TRN_TA_00011,Transport Services,Tamil,அறிவிப்பின்றி பேருந்து கட்டணம் உயர்த்தப்பட்டுள்ளது,Negative,0.71,Tamil Nadu,Trichy
TRN_TA_00012,Transport Services,Tamil,பேருந்து நிறுத்தத்தில் சரியான தங்குமிடம் இல்லை,Negative,0.84,Tamil Nadu,Salem
TRN_TA_00013,Transport Services,Tamil,பேருந்து நிறுத்தத்தில் சரியான தங்குமிடம் இல்லை,Neutral,0.37,Tamil Nadu,Erode
TRN_TA_00014,Transport Services,Tamil,பேருந்து ஓட்டுநர் பாதுகாப்பற்ற முறையில் ஓட்டுகிறார்,Neutral,0.51,Tamil Nadu,Coimbatore
TRN_TA_00015,Transport Services,Tamil,பேருந்து நடத்துனர் மோசமாக நடந்து கொள்கிறார்,Negative,0.77,Tamil Nadu,Coimbatore
TRN_TA_00016,Transport Services,Tamil,அரசு பேருந்து குறிப்பிட்ட நேரத்தில் இயக்கப்படவில்லை,Negative,0.92,Tamil Nadu,Trichy
TRN_TA_00017,Transport Services,Tamil,பேருந்து நிறுத்தத்தில் சரியான தங்குமிடம் இல்லை,Neutral,0.54,Tamil Nadu,Trichy
TRN_TA_00018,Transport Services,Tamil,பேருந்து பாஸ் வழங்குவதில் தாமதம்,Neutral,0.49,Tamil Nadu,Trichy
TRN_TA_00019,Transport Services,Tamil,அறிவிப்பின்றி பேருந்து கட்டணம் உயர்த்தப்பட்டுள்ளது,Neutral,0.32,Tamil Nadu,Coimbatore
TRN_TA_00020,Transport Services,Tamil,பேருந்து ஓட்டுநர் பாதுகாப்பற்ற முறையில் ஓட்டுகிறார்,Neutral,0.48,Tamil Nadu,Trichy
TRN_TA_00021,Transport Services,Tamil,பேருந்து ஓட்டுநர் பாதுகாப்பற்ற முறையில் ஓட்டுகிறார்,Neutral,0.57,Tamil Nadu,Karur
TRN_TA_00022,Transport Services,Tamil,பேருந்துகள் மோசமான நிலையில் உள்ளன,Negative,0.85,Tamil Nadu,Coimbatore
TRN_TA_00023,Transport Services,Tamil,அரசு பேருந்து குறிப்பிட்ட நேரத்தில் இயக்கப்படவில்லை,Neutral,0.31,Tamil Nadu,Erode
TRN_TA_00024,Transport Services,Tamil,பேருந்துகள் அடிக்கடி பழுதடைகின்றன,Neutral,0.3,Tamil Nadu,Erode
TRN_TA_00025,Transport Services,Tamil,அறிவிப்பின்றி பேருந்து கட்டணம் உயர்த்தப்பட்டுள்ளது,Negative,0.66,Tamil Nadu,Erode
TRN_TA_00026,Transport Services,Tamil,பேருந்துகள் மோசமான நிலையில் உள்ளன,Negative,0.67,Tamil Nadu,Erode
TRN_TA_00027,Transport Services,Tamil,பேருந்து பாஸ் வழங்குவதில் தாமதம்,Negative,0.84,Tamil Nadu,Erode
TRN_TA_00028,Transport Services,Tamil,அரசு பேருந்து குறிப்பிட்ட நேரத்தில் இயக்கப்படவில்லை,Neutral,0.4,Tamil Nadu,Karur
TRN_TA_00029,Transport Services,Tamil,பேருந்து நடத்துனர் மோசமாக நடந்து கொள்கிறார்,Negative,0.66,Tamil Nadu,Erode
TRN_TA_00030,Transport Services,Tamil,அரசு பேருந்து குறிப்பிட்ட நேரத்தில் இயக்கப்படவில்லை,Negative,0.98,Tamil Nadu,Erode
TRN_TA_00031,Transport Services,Tamil,பேருந்து நிறுத்தத்தில் சரியான தங்குமிடம் இல்லை,Neutral,0.32,Tamil Nadu,Trichy
TRN_TA_00032,Transport Services,Tamil,அறிவிப்பின்றி பேருந்து கட்டணம் உயர்த்தப்பட்டுள்ளது,Negative,0.93,Tamil Nadu,Salem
TRN_TA_00033,Transport Services,Tamil,பேருந்துகள் மோசமான நிலையில் உள்ளன,Neutral,0.31,Tamil Nadu,Erode
TRN_TA_00034,Transport Services,Tamil,பேருந்து ஓட்டுநர் பாதுகாப்பற்ற முறையில் ஓட்டுகிறார்,Negative,0.7,Tamil Nadu,Karur
TRN_TA_00035,Transport Services,Tamil,பேருந்து நடத்துனர் மோசமாக நடந்து கொள்கிறார்,Negative,0.93,Tamil Nadu,Coimbatore
TRN_TA_00036,Transport Services,Tamil,இந்த வழித்தடத்தில் பேருந்து சேவை இல்லை,Neutral,0.35,Tamil Nadu,Trichy
TRN_TA_00037,Transport Services,Tamil,இந்த வழித்தடத்தில் பேருந்து சேவை இல்லை,Negative,0.65,Tamil Nadu,Salem
TRN_TA_00038,Transport Services,Tamil,பேருந்துகள் மோசமான நிலையில் உள்ளன,Neutral,0.52,Tamil Nadu,Coimbatore
TRN_TA_00039,Transport Services,Tamil,பேருந்து நடத்துனர் மோசமாக நடந்து கொள்கிறார்,Neutral,0.35,Tamil Nadu,Karur
TRN_TA_00040,Transport Services,Tamil,இந்த வழித்தடத்தில் பேருந்து சேவை இல்லை,Negative,0.89,Tamil Nadu,Erode
TRN_TA_00041,Transport Services,Tamil,பேருந்துகள் அடிக்கடி பழுதடைகின்றன,Neutral,0.31,Tamil Nadu,Trichy
TRN_TA_00042,Transport Services,Tamil,அரசு பேருந்து குறிப்பிட்ட நேரத்தில் இயக்கப்படவில்லை,Neutral,0.58,Tamil Nadu,Erode
TRN_TA_00043,Transport Services,Tamil,இந்த வழித்தடத்தில் பேருந்து சேவை இல்லை,Negative,0.95,Tamil Nadu,Trichy
TRN_TA_00044,Transport Services,Tamil,பேருந்து பாஸ் வழங்குவதில் தாமதம்,Neutral,0.31,Tamil Nadu,Trichy
TRN_TA_00045,Transport Services,Tamil,அரசு பேருந்து குறிப்பிட்ட நேரத்தில் இயக்கப்படவில்லை,Negative,0.83,Tamil Nadu,Salem
TRN_TA_00046,Transport Services,Tamil,அறிவிப்பின்றி பேருந்து கட்டணம் உயர்த்தப்பட்டுள்ளது,Neutral,0.37,Tamil Nadu,Karur
TRN_TA_00047,Transport Services,Tamil,அரசு பேருந்து குறிப்பிட்ட நேரத்தில் இயக்கப்படவில்லை,Neutral,0.58,Tamil Nadu,Coimbatore
TRN_TA_00048,Transport Services,Tamil,பேருந்துகள் அடிக்கடி பழுதடைகின்றன,Neutral,0.44,Tamil Nadu,Coimbatore
TRN_TA_00049,Transport Services,Tamil,பேருந்து பாஸ் வழங்குவதில் தாமதம்,Neutral,0.43,Tamil Nadu,Salem
TRN_TA_00050,Transport Services,Tamil,பேருந்து நிறுத்தத்தில் சரியான தங்குமிடம் இல்லை,Neutral,0.36,Tamil Nadu,Coimbatore
TRN_TA_00051,Transport Services,Tamil,அறிவிப்பின்றி பேருந்து கட்டணம் உயர்த்தப்பட்டுள்ளது,Neutral,0.57,Tamil Nadu,Karur
TRN_TA_00052,Transport Services,Tamil,அரசு பேருந்து குறிப்பிட்ட நேரத்தில் இயக்கப்படவில்லை,Neutral,0.31,Tamil Nadu,Coimbatore
TRN_TA_00053,Transport Services,Tamil,அரசு பேருந்து குறிப்பிட்ட நேரத்தில் இயக்கப்படவில்லை,Neutral,0.31,Tamil Nadu,Trichy
TRN_TA_00054,Transport Services,Tamil,பேருந்து ஓட்டுநர் பாதுகாப்பற்ற முறையில் ஓட்டுகிறார்,Neutral,0.55,Tamil Nadu,Erode
TRN_TA_00055,Transport Services,Tamil,பேருந்து பாஸ் வழங்குவதில் தாமதம்,Negative,0.88,Tamil Nadu,Erode
TRN_TA_00056,Transport Services,Tamil,பேருந்து நிறுத்தத்தில் சரியான தங்குமிடம் இல்லை,Negative,0.7,Tamil Nadu,Coimbatore
TRN_TA_00057,Transport Services,Tamil,பேருந்துகள் அடிக்கடி பழுதடைகின்றன,Neutral,0.33,Tamil Nadu,Erode
TRN_TA_00058,Transport Services,Tamil,பேருந்து நடத்துனர் மோசமாக நடந்து கொள்கிறார்,Negative,1.0,Tamil Nadu,Coimbatore
TRN_TA_00059,Transport Services,Tamil,அறிவிப்பின்றி பேருந்து கட்டணம் உயர்த்தப்பட்டுள்ளது,Negative,0.81,Tamil Nadu,Coimbatore
TRN_TA_00060,Transport Services,Tamil,இந்த வழித்தடத்தில் பேருந்து சேவை இல்லை,Negative,0.68,Tamil Nadu,Karur
TRN_TA_00061,Transport Services,Tamil,அறிவிப்பின்றி பேருந்து கட்டணம் உயர்த்தப்பட்டுள்ளது,Neutral,0.34,Tamil Nadu,Karur
TRN_TA_00062,Transport Services,Tamil,பேருந்து நிறுத்தத்தில் சரியான தங்குமிடம் இல்லை,Neutral,0.59,Tamil Nadu,Trichy
TRN_TA_00063,Transport Services,Tamil,பேருந்து பாஸ் வழங்குவதில் தாமதம்,Negative,0.71,Tamil Nadu,Salem
TRN_TA_00064,Transport Services,Tamil,பேருந்துகள் மோசமான நிலையில் உள்ளன,Negative,0.78,Tamil Nadu,Karur
TRN_TA_00065,Transport Services,Tamil,பேருந்து பாஸ் வழங்குவதில் தாமதம்,Negative,0.69,Tamil Nadu,Trichy
TRN_TA_00066,Transport Services,Tamil,பொது பேருந்துகளில் மிக அதிக கூட்டம்,Negative,0.66,Tamil Nadu,Coimbatore
TRN_TA_00067,Transport Services,Tamil,அரசு பேருந்து குறிப்பிட்ட நேரத்தில் இயக்கப்படவில்லை,Negative,0.7,Tamil Nadu,Salem
TRN_TA_00068,Transport Services,Tamil,பேருந்து ஓட்டுநர் பாதுகாப்பற்ற முறையில் ஓட்டுகிறார்,Negative,0.92,Tamil Nadu,Coimbatore
TRN_TA_00069,Transport Services,Tamil,பேருந்துகள் அடிக்கடி பழுதடைகின்றன,Negative,0.68,Tamil Nadu,Karur
TRN_TA_00070,Transport Services,Tamil,பேருந்து பாஸ் வழங்குவதில் தாமதம்,Neutral,0.48,Tamil Nadu,Coimbatore
TRN_TA_00071,Transport Services,Tamil,பொது பேருந்துகளில் மிக அதிக கூட்டம்,Neutral,0.31,Tamil Nadu,Karur
TRN_TA_00072,Transport Services,Tamil,இந்த வழித்தடத்தில் பேருந்து சேவை இல்லை,Negative,0.64,Tamil Nadu,Erode
TRN_TA_00073,Transport Services,Tamil,இந்த வழித்தடத்தில் பேருந்து சேவை இல்லை,Negative,0.79,Tamil Nadu,Erode
TRN_TA_00074,Transport Services,Tamil,அறிவிப்பின்றி பேருந்து கட்டணம் உயர்த்தப்பட்டுள்ளது,Neutral,0.37,Tamil Nadu,Trichy
TRN_TA_00075,Transport Services,Tamil,பேருந்துகள் அடிக்கடி பழுதடைகின்றன,Negative,0.76,Tamil Nadu,Salem
TRN_TA_00076,Transport Services,Tamil,பேருந்துகள் அடிக்கடி பழுதடைகின்றன,Negative,0.74,Tamil Nadu,Coimbatore
TRN_TA_00077,Transport Services,Tamil,பேருந்து நிறுத்தத்தில் சரியான தங்குமிடம் இல்லை,Negative,0.93,Tamil Nadu,Coimbatore
TRN_TA_00078,Transport Services,Tamil,பேருந்து நிறுத்தத்தில் சரியான தங்குமிடம் இல்லை,Negative,0.81,Tamil Nadu,Karur
TRN_TA_00079,Transport Services,Tamil,பேருந்து ஓட்டுநர் பாதுகாப்பற்ற முறையில் ஓட்டுகிறார்,Negative,0.92,Tamil Nadu,Trichy
TRN_TA_00080,Transport Services,Tamil,பேருந்து பாஸ் வழங்குவதில் தாமதம்,Negative,0.6,Tamil Nadu,Erode
TRN_TA_00081,Transport Services,Tamil,அறிவிப்பின்றி பேருந்து கட்டணம் உயர்த்தப்பட்டுள்ளது,Neutral,0.56,Tamil Nadu,Karur
TRN_TA_00082,Transport Services,Tamil,பேருந்து நடத்துனர் மோசமாக நடந்து கொள்கிறார்,Neutral,0.4,Tamil Nadu,Salem
TRN_TA_00083,Transport Services,Tamil,இந்த வழித்தடத்தில் பேருந்து சேவை இல்லை,Negative,0.91,Tamil Nadu,Erode
TRN_TA_00084,Transport Services,Tamil,பேருந்துகள் அடிக்கடி பழுதடைகின்றன,Negative,0.62,Tamil Nadu,Salem
TRN_TA_00085,Transport Services,Tamil,பேருந்து நிறுத்தத்தில் சரியான தங்குமிடம் இல்லை,Neutral,0.48,Tamil Nadu,Erode
TRN_TA_00086,Transport Services,Tamil,அரசு பேருந்து குறிப்பிட்ட நேரத்தில் இயக்கப்படவில்லை,Negative,0.75,Tamil Nadu,Erode
TRN_TA_00087,Transport Services,Tamil,பேருந்து நிறுத்தத்தில் சரியான தங்குமிடம் இல்லை,Neutral,0.35,Tamil Nadu,Erode
TRN_TA_00088,Transport Services,Tamil,பேருந்து பாஸ் வழங்குவதில் தாமதம்,Negative,0.66,Tamil Nadu,Erode
TRN_TA_00089,Transport Services,Tamil,இந்த வழித்தடத்தில் பேருந்து சேவை இல்லை,Negative,0.85,Tamil Nadu,Coimbatore
TRN_TA_00090,Transport Services,Tamil,பேருந்துகள் மோசமான நிலையில் உள்ளன,Negative,0.8,Tamil Nadu,Karur
TRN_TA_00091,Transport Services,Tamil,பொது பேருந்துகளில் மிக அதிக கூட்டம்,Negative,0.74,Tamil Nadu,Erode
TRN_TA_00092,Transport Services,Tamil,பேருந்து நடத்துனர் மோசமாக நடந்து கொள்கிறார்,Neutral,0.35,Tamil Nadu,Karur
TRN_TA_00093,Transport Services,Tamil,பொது பேருந்துகளில் மிக அதிக கூட்டம்,Negative,0.91,Tamil Nadu,Coimbatore
TRN_TA_00094,Transport Services,Tamil,அறிவிப்பின்றி பேருந்து கட்டணம் உயர்த்தப்பட்டுள்ளது,Negative,0.69,Tamil Nadu,Trichy
TRN_TA_00095,Transport Services,Tamil,அரசு பேருந்து குறிப்பிட்ட நேரத்தில் இயக்கப்படவில்லை,Negative,0.94,Tamil Nadu,Erode
TRN_TA_00096,Transport Services,Tamil,அரசு பேருந்து குறிப்பிட்ட நேரத்தில் இயக்கப்படவில்லை,Negative,0.81,Tamil Nadu,Erode
TRN_TA_00097,Transport Services,Tamil,பேருந்து ஓட்டுநர் பாதுகாப்பற்ற முறையில் ஓட்டுகிறார்,Negative,0.92,Tamil Nadu,Trichy
TRN_TA_00098,Transport Services,Tamil,பொது பேருந்துகளில் மிக அதிக கூட்டம்,Negative,0.64,Tamil Nadu,Coimbatore
TRN_TA_00099,Transport Services,Tamil,அரசு பேருந்து குறிப்பிட்ட நேரத்தில் இயக்கப்படவில்லை,Negative,0.75,Tamil Nadu,Karur
TRN_TA_00100,Transport Services,Tamil,பேருந்துகள் அடிக்கடி பழுதடைகின்றன,Neutral,0.47,Tamil Nadu,Coimbatore
TRN_TA_00101,Transport Services,Tamil,பேருந்துகள் மோசமான நிலையில் உள்ளன,Neutral,0.57,Tamil Nadu,Erode
TRN_TA_00102,Transport Services,Tamil,பேருந்து பாஸ் வழங்குவதில் தாமதம்,Neutral,0.47,Tamil Nadu,Karur
TRN_TA_00103,Transport Services,Tamil,பேருந்துகள் மோசமான நிலையில் உள்ளன,Neutral,0.48,Tamil Nadu,Salem
TRN_TA_00104,Transport Services,Tamil,பேருந்து ஓட்டுநர் பாதுகாப்பற்ற முறையில் ஓட்டுகிறார்,Neutral,0.36,Tamil Nadu,Erode
