complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
WAT_TA_00001,Water Supply,Tamil,கடந்த சில நாட்களாக தண்ணீர் அழுத்தம் குறைவாக உள்ளது,Neutral,0.51,Tamil Nadu,Erode
WAT_TA_00002,Water Supply,Tamil,முன்னறிவிப்பு இல்லாமல் தண்ணீர் நிறுத்தப்பட்டுள்ளது,Neutral,0.52,Tamil Nadu,Karur
WAT_TA_00003,Water Supply,Tamil,எங்கள் பகுதியில் கடந்த 11 மணிநேரமாக தண்ணீர் இல்லை,Negative,0.76,Tamil Nadu,Trichy
WAT_TA_00004,Water Supply,Tamil,குடிநீர் மாசடைந்த நிலையில் உள்ளது,Negative,0.61,Tamil Nadu,Coimbatore
WAT_TA_00005,Water Supply,Tamil,முன்னறிவிப்பு இல்லாமல் தண்ணீர் நிறுத்தப்பட்டுள்ளது,Neutral,0.52,Tamil Nadu,Erode
WAT_TA_00006,Water Supply,Tamil,சேதமடைந்த குழாய் காரணமாக தண்ணீர் பெருக்கம்,Negative,0.64,Tamil Nadu,Trichy
WAT_TA_00007,Water Supply,Tamil,தண்ணீர் வழங்கும் நேரம் ஒழுங்கற்றதாக உள்ளது,Negative,0.99,Tamil Nadu,Erode
WAT_TA_00008,Water Supply,Tamil,எங்கள் பகுதியில் கடந்த 35 மணிநேரமாக தண்ணீர் இல்லை,Negative,0.6,Tamil Nadu,Salem
WAT_TA_00009,Water Supply,Tamil,முன்னறிவிப்பு இல்லாமல் தண்ணீர் நிறுத்தப்பட்டுள்ளது,Negative,0.67,Tamil Nadu,Coimbatore
WAT_TA_00010,Water Supply,Tamil,தண்ணீர் வழங்கும் நேரம் ஒழுங்கற்றதாக உள்ளது,Neutral,0.36,Tamil Nadu,Salem
WAT_TA_00011,Water Supply,Tamil,குழாயில் இருந்து அழுக்கு தண்ணீர் வருகிறது,Neutral,0.47,Tamil Nadu,Coimbatore
WAT_TA_00012,Water Supply,Tamil,தண்ணீர் டேங்கர் திட்டமிட்ட நேரத்தில் வரவில்லை,Negative,0.74,Tamil Nadu,Salem
WAT_TA_00013,Water Supply,Tamil,கடந்த சில நாட்களாக தண்ணீர் அழுத்தம் குறைவாக உள்ளது,Neutral,0.4,Tamil Nadu,Trichy
WAT_TA_00014,Water Supply,Tamil,தண்ணீர் டேங்கர் திட்டமிட்ட நேரத்தில் வரவில்லை,Negative,1.0,Tamil Nadu,Trichy
WAT_TA_00015,Water Supply,Tamil,எங்கள் பகுதியில் கடந்த 1 மணிநேரமாக தண்ணீர் இல்லை,Negative,0.71,Tamil Nadu,Salem
WAT_TA_00016,Water Supply,Tamil,குழாயில் இருந்து அழுக்கு தண்ணீர் வருகிறது,Neutral,0.33,Tamil Nadu,Erode
WAT_TA_00017,Water Supply,Tamil,தண்ணீர் வழங்கும் நேரம் ஒழுங்கற்றதாக உள்ளது,Neutral,0.51,Tamil Nadu,Erode
WAT_TA_00018,Water Supply,Tamil,பொது குடிநீர் குழாய் செயல்படவில்லை,Negative,0.61,Tamil Nadu,Erode
WAT_TA_00019,Water Supply,Tamil,என் வீட்டருகே தண்ணீர் குழாய் கசிவு உள்ளது,Negative,0.92,Tamil Nadu,Salem
WAT_TA_00020,Water Supply,Tamil,என் வீட்டருகே தண்ணீர் குழாய் கசிவு உள்ளது,Neutral,0.58,Tamil Nadu,Erode
WAT_TA_00021,Water Supply,Tamil,எங்கள் பகுதியில் கடந்த 20 மணிநேரமாக தண்ணீர் இல்லை,Neutral,0.42,Tamil Nadu,Erode
WAT_TA_00022,Water Supply,Tamil,தண்ணீர் வழங்கும் நேரம் ஒழுங்கற்றதாக உள்ளது,Negative,0.81,Tamil Nadu,Coimbatore
WAT_TA_00023,Water Supply,Tamil,சேதமடைந்த குழாய் காரணமாக தண்ணீர் பெருக்கம்,Neutral,0.46,Tamil Nadu,Karur
WAT_TA_00024,Water Supply,Tamil,முன்னறிவிப்பு இல்லாமல் தண்ணீர் நிறுத்தப்பட்டுள்ளது,Negative,0.63,Tamil Nadu,Karur
WAT_TA_00025,Water Supply,Tamil,தண்ணீர் வழங்கும் நேரம் ஒழுங்கற்றதாக உள்ளது,Negative,0.76,Tamil Nadu,Karur
WAT_TA_00026,Water Supply,Tamil,கடந்த சில நாட்களாக தண்ணீர் அழுத்தம் குறைவாக உள்ளது,Neutral,0.48,Tamil Nadu,Salem
WAT_TA_00027,Water Supply,Tamil,குழாயில் இருந்து அழுக்கு தண்ணீர் வருகிறது,Negative,0.86,Tamil Nadu,Trichy
WAT_TA_00028,Water Supply,Tamil,என் வீட்டருகே தண்ணீர் குழாய் கசிவு உள்ளது,Neutral,0.5,Tamil Nadu,Erode
WAT_TA_00029,Water Supply,Tamil,சேதமடைந்த குழாய் காரணமாக தண்ணீர் பெருக்கம்,Neutral,0.48,Tamil Nadu,Coimbatore
WAT_TA_00030,Water Supply,Tamil,முன்னறிவிப்பு இல்லாமல் தண்ணீர் நிறுத்தப்பட்டுள்ளது,Negative,1.0,Tamil Nadu,Erode
WAT_TA_00031,Water Supply,Tamil,முன்னறிவிப்பு இல்லாமல் தண்ணீர் நிறுத்தப்பட்டுள்ளது,Negative,0.62,Tamil Nadu,Coimbatore
WAT_TA_00032,Water Supply,Tamil,தண்ணீர் வழங்கும் நேரம் ஒழுங்கற்றதாக உள்ளது,Negative,0.88,Tamil Nadu,Karur
WAT_TA_00033,Water Supply,Tamil,கடந்த சில நாட்களாக தண்ணீர் அழுத்தம் குறைவாக உள்ளது,Negative,0.95,Tamil Nadu,Salem
WAT_TA_00034,Water Supply,Tamil,கடந்த சில நாட்களாக தண்ணீர் அழுத்தம் குறைவாக உள்ளது,Negative,0.78,Tamil Nadu,Erode
