complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
ELC_TA_00001,Electricity,Tamil,இரவு நேரங்களில் குறைந்த மின்னழுத்த பிரச்சனை உள்ளது,Neutral,0.45,Tamil Nadu,Erode
ELC_TA_00002,Electricity,Tamil,வீட்டு அருகே மின் கம்பியில் தீப்பொறி,Neutral,0.37,Tamil Nadu,Coimbatore
ELC_TA_00003,Electricity,Tamil,வீட்டு அருகே மின் கம்பியில் தீப்பொறி,Negative,0.96,Tamil Nadu,Coimbatore
ELC_TA_00004,Electricity,Tamil,மின்னழுத்த மாற்றம் காரணமாக சாதனங்கள் சேதமடைந்துள்ளன,Negative,0.8,Tamil Nadu,Coimbatore
ELC_TA_00005,Electricity,Tamil,எச்சரிக்கையின்றி மின்சாரம் நிறுத்தப்படுகிறது,Negative,0.97,Tamil Nadu,Karur
ELC_TA_00006,Electricity,Tamil,வீட்டு அருகே மின் கம்பியில் தீப்பொறி,Negative,0.63,Tamil Nadu,Erode
ELC_TA_00007,Electricity,Tamil,தினமும் மாலை மின்விநியோகம் தடைப்படுகிறது,Neutral,0.39,Tamil Nadu,Trichy
ELC_TA_00008,Electricity,Tamil,மின்னழுத்த மாற்றம் காரணமாக சாதனங்கள் சேதமடைந்துள்ளன,Negative,0.78,Tamil Nadu,Trichy
ELC_TA_00009,Electricity,Tamil,மாற்றி பழுதடைந்ததால் மின்சாரம் இல்லை,Neutral,0.32,Tamil Nadu,Salem
ELC_TA_00010,Electricity,Tamil,இரவு நேரங்களில் குறைந்த மின்னழுத்த பிரச்சனை உள்ளது,Negative,0.88,Tamil Nadu,Karur
ELC_TA_00011,Electricity,Tamil,மாற்றி பழுதடைந்ததால் மின்சாரம் இல்லை,Negative,0.91,Tamil Nadu,Erode
ELC_TA_00012,Electricity,Tamil,மழைக்குப் பிறகு மின்சாரம் மீண்டும் வழங்கப்படவில்லை,Neutral,0.41,Tamil Nadu,Coimbatore
ELC_TA_00013,Electricity,Tamil,மழைக்குப் பிறகு மின்சாரம் மீண்டும் வழங்கப்படவில்லை,Negative,0.81,Tamil Nadu,Coimbatore
ELC_TA_00014,Electricity,Tamil,மின்னழுத்த மாற்றம் காரணமாக சாதனங்கள் சேதமடைந்துள்ளன,Negative,0.7,Tamil Nadu,Erode
ELC_TA_00015,Electricity,Tamil,இரவு நேரங்களில் குறைந்த மின்னழுத்த பிரச்சனை உள்ளது,Neutral,0.53,Tamil Nadu,Coimbatore
ELC_TA_00016,Electricity,Tamil,மாற்றி பழுதடைந்ததால் மின்சாரம் இல்லை,Neutral,0.43,Tamil Nadu,Coimbatore
ELC_TA_00017,Electricity,Tamil,எச்சரிக்கையின்றி மின்சாரம் நிறுத்தப்படுகிறது,Negative,0.7,Tamil Nadu,Erode
ELC_TA_00018,Electricity,Tamil,வீட்டு அருகே மின் கம்பியில் தீப்பொறி,Negative,0.86,Tamil Nadu,Karur
ELC_TA_00019,Electricity,Tamil,வீட்டு அருகே மின் கம்பியில் தீப்பொறி,Negative,0.7,Tamil Nadu,Salem
ELC_TA_00020,Electricity,Tamil,இரவு நேரங்களில் குறைந்த மின்னழுத்த பிரச்சனை உள்ளது,Negative,0.9,Tamil Nadu,Karur
ELC_TA_00021,Electricity,Tamil,மழைக்குப் பிறகு மின்சாரம் மீண்டும் வழங்கப்படவில்லை,Neutral,0.34,Tamil Nadu,Trichy
ELC_TA_00022,Electricity,Tamil,மாற்றி பழுதடைந்ததால் மின்சாரம் இல்லை,Negative,0.82,Tamil Nadu,Karur
ELC_TA_00023,Electricity,Tamil,தெருவிளக்குகள் சரியாக செயல்படவில்லை,Negative,0.89,Tamil Nadu,Coimbatore
ELC_TA_00024,Electricity,Tamil,தினமும் மாலை மின்விநியோகம் தடைப்படுகிறது,Neutral,0.52,Tamil Nadu,Coimbatore
ELC_TA_00025,Electricity,Tamil,எச்சரிக்கையின்றி மின்சாரம் நிறுத்தப்படுகிறது,Negative,0.79,Tamil Nadu,Erode
ELC_TA_00026,Electricity,Tamil,மின்மீட்டர் அளவீடு சரியாக பதிவு செய்யப்படவில்லை,Neutral,0.33,Tamil Nadu,Coimbatore
ELC_TA_00027,Electricity,Tamil,மாற்றி பழுதடைந்ததால் மின்சாரம் இல்லை,Neutral,0.35,Tamil Nadu,Coimbatore
